dId,title,category,score,text,Coder-ICR-1,Coder-ICR-2,Coder-ICR-3
01b7eb27273491b4b4e596eb280dfd183068d3a68cc3c8f349cbc6ee,Boris opposes mayor apology,politics,1,say sorry,2,2,1
094b5bab72b9f68129e723f4177ddbaacf612164494218414e51e769,Immigration to be election issue,politics,1,big,2,2,2
0e745a7786d54ee066dd02483a5da41dc9589add574d02f2cda2052a,Barkley fit for match in Ireland,sport,1,selected and play,1,1,1
11107de18a215035b6991413fd1115e6a6b45bb35949d22af07d0d20,Wi-fi web reaches farmers in Peru,tech,1,local,2,1,1
1483a7d973112bc0ff72a69ced5ae857d1e528df1fe6893590fd34a0,Yachvili savours France comeback,sport,1,first,0,1,1
193c43ee8f1713ec1e6fc781795b19e2e783354dc5e12f617c9ef126,O'Connell rejects Lions rumours,sport,1,reading,2,1,1
1b13bfed87ae2f0a87330b11e6bafe5e9992fd5144bba4fe5f2bdf65,Melzer shocks Agassi in San Jose,sport,1,Austrian,1,1,0
1d1c1a479999d58299aae600d8fc0d933b993e2983cda4ac497da526,Digital guru floats sub-$100 PC,tech,1,be making,0,1,1
25a62a211c08540911e058e84e42706dc88797d8d017249039779d0a,India's Maruti sees profits jump,business,1,last,0,0,0
2cf011b290c3c7b76a9db0ae140a0d1304ac2392d4ee6023f6a8af0b,US cyber security chief resigns,tech,1,malicious,2,2,2
39c14f5faed310509973d061d540050ef8dc8e8c95f89cc0541870a8,Black Sabbath top rock album poll,entertainment,1,best British,2,1,1
3a01b8dc9bf6e345bf2ddfc0fb88a4660542d7e107f4ab4f138fd0b1,US to probe airline travel chaos,business,1,sick,1,1,1
3de043bc2d5fbb69f2cb6d91ac5938b5db5cbe57347e30d34942c2f1,Versace art portfolio up for sale,entertainment,1,contemporary,2,1,1
3e24195bbae28de48d6995c5dafa96614ba5f9d5834444bb5efaa80c,Rusedski forced out in Marseille,sport,1,beating,2,2,2
3e48e63132e6d3d512db4a0bd16f0f0feb1eda24fb67935ff20f98e9,Nortel in $300m profit revision,business,1,last,1,1,1
3f69e809d27459cbe593cfab7f7ecd23e6b7f0e49e7f48a07c690347,Warning over Windows Word files,tech,1,Workshare,1,1,1
405deb0610079af7abe093e33f18bdda04c920e85b04463334d76838,Dollar gains on Greenspan speech,business,1,recent,2,1,1
47125a45675cdcbe66bd12dcf67bbe75c9fda34bbbf95787cbce0325,Parties build up poll war chests,politics,1,received,1,1,1
49453731491d8fe7604c81fcce1968c69ab7bc0efa2284a07100da1d,X Factor show gets second series,entertainment,1,second,1,2,2
50925424df5333e6032217a02669f9ec31f2cb4c8be41b60d7c8b161,Brown shrugs off economy fears,politics,1,predicted,2,1,2
574234a2a135d1c9b4836baf0b42e3489991fb7e64dfe00a3ad6f6a6,Wolves appoint Hoddle as manager,sport,1,works,1,0,1
58b24ddd809ff9a4f602d80c5f1a93c3e56af65fa09558e273110d4a,Player burn-out worries Robinson,sport,1,professional rugby,2,2,2
60a1351f9543755080075ae46be590d0bb4552e5108eb38bb07df711,Freeze on anti-spam campaign,tech,1,anti-spam,1,2,2
68b604092ebd03eff9dd1492e77a340ec534a67e6e37078a1bac0667,US consumer confidence up,business,1,and economic,2,1,2
6d828b982c9a51820966fedaa316fe5ce87bf047e84d9dc881c9bf56,Hospital suspends 'no Welsh' plan,politics,1,waiting,1,0,1
718f8e471efcf244b007ea829ec4ce0cd222a1a3efd1638093511a8c,BBC 'should allow more scrutiny',entertainment,1,digital,1,2,1
727bc7aabab6134ee2d4c59176a1c04fac670b79d5e7b7d7452d2a54,UK interest rates held at 4.75%,business,1,British,1,1,1
7846af5b0653d5d247141e48b576ad2b334ed4f122f3842d70216d53,Tories leave door open for Archer,politics,1,disgraced peer,2,2,2
7c8879d8c5c83776b7036a1e105c2875980c775ee7bf8fc653aa05b4,Ivanovic seals Canberra victory,sport,1,Hungarian,1,1,1
82fbe206894eb839a414870bb47611132215ccb72076b7b284a03979,Train strike grips Buenos Aires,business,1,Argentine,2,2,1
