position,clausal conjunction,adverbial indicator,NP-VP-NP,score
1.0,1.0,1.0,0.9,0.20342205323193915
1.0,1.0,1.0,0.7,0.6913814955640051
1.0,1.0,1.0,0.3,0.9100126742712294
1.0,1.0,1.0,0.1,1.0
1.0,1.0,0.9,1.0,0.0019011406844106464
1.0,1.0,0.9,0.9,0.20342205323193915
1.0,1.0,0.9,0.8,0.35868187579214195
1.0,1.0,0.9,0.7,0.6913814955640051
1.0,1.0,0.9,0.6,0.7154626108998733
1.0,1.0,0.9,0.5,0.8282636248415716
1.0,1.0,0.9,0.4,0.8548795944233206
1.0,1.0,0.9,0.3,0.9100126742712294
1.0,1.0,0.9,0.2,0.9100126742712294
1.0,1.0,0.9,0.1,1.0
1.0,1.0,0.9,0.0,0.9708491761723701
1.0,1.0,0.8,0.9,0.20342205323193915
1.0,1.0,0.8,0.7,0.6913814955640051
1.0,1.0,0.8,0.5,0.7648922686945501
1.0,1.0,0.8,0.3,0.9100126742712294
1.0,1.0,0.8,0.1,1.0
1.0,1.0,0.7,1.0,0.0019011406844106464
1.0,1.0,0.7,0.9,0.20342205323193915
1.0,1.0,0.7,0.8,0.35868187579214195
1.0,1.0,0.7,0.7,0.6913814955640051
1.0,1.0,0.7,0.6,0.7154626108998733
1.0,1.0,0.7,0.5,0.7648922686945501
1.0,1.0,0.7,0.4,0.7915082382762991
1.0,1.0,0.7,0.3,0.9100126742712294
1.0,1.0,0.7,0.2,0.9100126742712294
1.0,1.0,0.7,0.1,1.0
1.0,1.0,0.7,0.0,0.9708491761723701
1.0,1.0,0.6,0.9,0.20342205323193915
1.0,1.0,0.6,0.7,0.6913814955640051
1.0,1.0,0.6,0.5,0.7648922686945501
1.0,1.0,0.6,0.3,0.8466413181242078
1.0,1.0,0.6,0.1,1.0
1.0,1.0,0.5,0.9,0.20342205323193915
1.0,1.0,0.5,0.8,0.35868187579214195
1.0,1.0,0.5,0.7,0.6913814955640051
1.0,1.0,0.5,0.6,0.7154626108998733
1.0,1.0,0.5,0.4,0.7915082382762991
1.0,1.0,0.5,0.3,0.8466413181242078
1.0,1.0,0.5,0.2,0.8466413181242078
1.0,1.0,0.5,0.1,1.0
1.0,1.0,0.4,0.9,0.20342205323193915
1.0,1.0,0.4,0.7,0.6913814955640051
1.0,1.0,0.4,0.5,0.7648922686945501
1.0,1.0,0.4,0.3,0.8466413181242078
1.0,1.0,0.4,0.1,0.9366286438529785
1.0,1.0,0.3,1.0,0.0019011406844106464
1.0,1.0,0.3,0.9,0.20342205323193915
1.0,1.0,0.3,0.8,0.35868187579214195
1.0,1.0,0.3,0.7,0.6913814955640051
1.0,1.0,0.3,0.6,0.7154626108998733
1.0,1.0,0.3,0.5,0.7648922686945501
1.0,1.0,0.3,0.4,0.7915082382762991
1.0,1.0,0.3,0.3,0.8466413181242078
1.0,1.0,0.3,0.2,0.8466413181242078
1.0,1.0,0.3,0.1,0.9366286438529785
1.0,1.0,0.3,0.0,0.9074778200253485
1.0,1.0,0.2,0.9,0.20342205323193915
1.0,1.0,0.2,0.7,0.6913814955640051
1.0,1.0,0.2,0.5,0.7648922686945501
1.0,1.0,0.2,0.3,0.8466413181242078
1.0,1.0,0.2,0.1,0.9366286438529785
1.0,1.0,0.1,1.0,0.0019011406844106464
1.0,1.0,0.1,0.9,0.20342205323193915
1.0,1.0,0.1,0.8,0.35868187579214195
1.0,1.0,0.1,0.7,0.6913814955640051
1.0,1.0,0.1,0.6,0.7154626108998733
1.0,1.0,0.1,0.5,0.7648922686945501
1.0,1.0,0.1,0.4,0.7915082382762991
1.0,1.0,0.1,0.3,0.8466413181242078
1.0,1.0,0.1,0.2,0.8466413181242078
1.0,1.0,0.1,0.1,0.9366286438529785
1.0,1.0,0.0,0.9,0.20342205323193915
1.0,1.0,0.0,0.7,0.6913814955640051
1.0,1.0,0.0,0.3,0.8466413181242078
1.0,1.0,0.0,0.1,0.9366286438529785
1.0,0.9,1.0,1.0,0.0
1.0,0.9,1.0,0.9,0.0
1.0,0.9,1.0,0.8,0.20342205323193915
1.0,0.9,1.0,0.7,0.35868187579214195
1.0,0.9,1.0,0.6,0.7547528517110266
1.0,0.9,1.0,0.5,0.7788339670468948
1.0,0.9,1.0,0.4,0.8282636248415716
1.0,0.9,1.0,0.3,0.8548795944233206
1.0,0.9,1.0,0.2,0.9100126742712294
1.0,0.9,1.0,0.1,0.9100126742712294
1.0,0.9,1.0,0.0,1.0
1.0,0.9,0.9,1.0,0.0
1.0,0.9,0.9,0.9,0.0
1.0,0.9,0.9,0.8,0.20342205323193915
1.0,0.9,0.9,0.7,0.35868187579214195
1.0,0.9,0.9,0.6,0.6913814955640051
1.0,0.9,0.9,0.5,0.7788339670468948
1.0,0.9,0.9,0.4,0.8282636248415716
1.0,0.9,0.9,0.3,0.8548795944233206
1.0,0.9,0.9,0.2,0.9100126742712294
1.0,0.9,0.9,0.1,0.9100126742712294
1.0,0.9,0.9,0.0,1.0
1.0,0.9,0.8,1.0,0.0
1.0,0.9,0.8,0.9,0.0
1.0,0.9,0.8,0.8,0.20342205323193915
1.0,0.9,0.8,0.7,0.35868187579214195
1.0,0.9,0.8,0.6,0.6913814955640051
1.0,0.9,0.8,0.5,0.7154626108998733
1.0,0.9,0.8,0.4,0.8282636248415716
1.0,0.9,0.8,0.3,0.8548795944233206
1.0,0.9,0.8,0.2,0.9100126742712294
1.0,0.9,0.8,0.1,0.9100126742712294
1.0,0.9,0.8,0.0,1.0
1.0,0.9,0.7,1.0,0.0
1.0,0.9,0.7,0.9,0.0
1.0,0.9,0.7,0.8,0.20342205323193915
1.0,0.9,0.7,0.7,0.35868187579214195
1.0,0.9,0.7,0.6,0.6913814955640051
1.0,0.9,0.7,0.5,0.7154626108998733
1.0,0.9,0.7,0.4,0.7648922686945501
1.0,0.9,0.7,0.3,0.8548795944233206
1.0,0.9,0.7,0.2,0.9100126742712294
1.0,0.9,0.7,0.1,0.9100126742712294
1.0,0.9,0.7,0.0,1.0
1.0,0.9,0.6,1.0,0.0
1.0,0.9,0.6,0.9,0.0
1.0,0.9,0.6,0.8,0.20342205323193915
1.0,0.9,0.6,0.7,0.35868187579214195
1.0,0.9,0.6,0.6,0.6913814955640051
1.0,0.9,0.6,0.5,0.7154626108998733
1.0,0.9,0.6,0.4,0.7648922686945501
1.0,0.9,0.6,0.3,0.7915082382762991
1.0,0.9,0.6,0.2,0.9100126742712294
1.0,0.9,0.6,0.1,0.9100126742712294
1.0,0.9,0.6,0.0,1.0
1.0,0.9,0.5,1.0,0.0
1.0,0.9,0.5,0.9,0.0
1.0,0.9,0.5,0.8,0.20342205323193915
1.0,0.9,0.5,0.7,0.35868187579214195
1.0,0.9,0.5,0.6,0.6913814955640051
1.0,0.9,0.5,0.5,0.7154626108998733
1.0,0.9,0.5,0.4,0.7648922686945501
1.0,0.9,0.5,0.3,0.7915082382762991
1.0,0.9,0.5,0.2,0.8466413181242078
1.0,0.9,0.5,0.1,0.9100126742712294
1.0,0.9,0.5,0.0,1.0
1.0,0.9,0.4,1.0,0.0
1.0,0.9,0.4,0.9,0.0
1.0,0.9,0.4,0.8,0.20342205323193915
1.0,0.9,0.4,0.7,0.35868187579214195
1.0,0.9,0.4,0.6,0.6913814955640051
1.0,0.9,0.4,0.5,0.7154626108998733
1.0,0.9,0.4,0.4,0.7648922686945501
1.0,0.9,0.4,0.3,0.7915082382762991
1.0,0.9,0.4,0.2,0.8466413181242078
1.0,0.9,0.4,0.1,0.8466413181242078
1.0,0.9,0.4,0.0,1.0
1.0,0.9,0.3,1.0,0.0
1.0,0.9,0.3,0.9,0.0
1.0,0.9,0.3,0.8,0.20342205323193915
1.0,0.9,0.3,0.7,0.35868187579214195
1.0,0.9,0.3,0.6,0.6913814955640051
1.0,0.9,0.3,0.5,0.7154626108998733
1.0,0.9,0.3,0.4,0.7648922686945501
1.0,0.9,0.3,0.3,0.7915082382762991
1.0,0.9,0.3,0.2,0.8466413181242078
1.0,0.9,0.3,0.1,0.8466413181242078
1.0,0.9,0.3,0.0,0.9366286438529785
1.0,0.9,0.2,1.0,0.0
1.0,0.9,0.2,0.9,0.0
1.0,0.9,0.2,0.8,0.20342205323193915
1.0,0.9,0.2,0.7,0.35868187579214195
1.0,0.9,0.2,0.6,0.6913814955640051
1.0,0.9,0.2,0.5,0.7154626108998733
1.0,0.9,0.2,0.4,0.7648922686945501
1.0,0.9,0.2,0.3,0.7915082382762991
1.0,0.9,0.2,0.2,0.8466413181242078
1.0,0.9,0.2,0.1,0.8466413181242078
1.0,0.9,0.2,0.0,0.9366286438529785
1.0,0.9,0.1,1.0,0.0
1.0,0.9,0.1,0.9,0.0
1.0,0.9,0.1,0.8,0.20342205323193915
1.0,0.9,0.1,0.7,0.35868187579214195
1.0,0.9,0.1,0.6,0.6913814955640051
1.0,0.9,0.1,0.5,0.7154626108998733
1.0,0.9,0.1,0.4,0.7648922686945501
1.0,0.9,0.1,0.3,0.7915082382762991
1.0,0.9,0.1,0.2,0.8466413181242078
1.0,0.9,0.1,0.1,0.8466413181242078
