position,frequency,conjunction,adjectives_adverbs,score
1.0,1.0,1.0,0.9,0.454748418869
1.0,1.0,1.0,0.7,0.461025702303
1.0,1.0,1.0,0.3,0.441218340672
1.0,1.0,1.0,0.1,0.216372171033
1.0,1.0,0.9,1.0,0.31581861498
1.0,1.0,0.9,0.9,0.31581861498
1.0,1.0,0.9,0.8,0.454748418869
1.0,1.0,0.9,0.7,0.483909377119
1.0,1.0,0.9,0.6,0.461025702303
1.0,1.0,0.9,0.5,0.459392235274
1.0,1.0,0.9,0.4,0.497075169105
1.0,1.0,0.9,0.3,0.469298516993
1.0,1.0,0.9,0.2,0.441218340672
1.0,1.0,0.9,0.1,0.213644244663
1.0,1.0,0.9,0.0,0.216372171033
1.0,1.0,0.8,0.9,0.31581861498
1.0,1.0,0.8,0.7,0.454748418869
1.0,1.0,0.8,0.5,0.461025702303
1.0,1.0,0.8,0.3,0.497075169105
1.0,1.0,0.8,0.1,0.441218340672
1.0,1.0,0.7,1.0,0.422687901407
1.0,1.0,0.7,0.9,0.293635701338
1.0,1.0,0.7,0.8,0.31581861498
1.0,1.0,0.7,0.7,0.31581861498
1.0,1.0,0.7,0.6,0.454748418869
1.0,1.0,0.7,0.5,0.483909377119
1.0,1.0,0.7,0.4,0.461025702303
1.0,1.0,0.7,0.3,0.459392235274
1.0,1.0,0.7,0.2,0.497075169105
1.0,1.0,0.7,0.1,0.469298516993
1.0,1.0,0.7,0.0,0.391969407789
1.0,1.0,0.6,0.9,0.422687901407
1.0,1.0,0.6,0.7,0.31581861498
1.0,1.0,0.6,0.5,0.454748418869
1.0,1.0,0.6,0.3,0.461025702303
1.0,1.0,0.6,0.1,0.497075169105
1.0,1.0,0.5,0.9,0.422687901407
1.0,1.0,0.5,0.8,0.422687901407
1.0,1.0,0.5,0.7,0.293635701338
1.0,1.0,0.5,0.6,0.31581861498
1.0,1.0,0.5,0.4,0.454748418869
1.0,1.0,0.5,0.3,0.483909377119
1.0,1.0,0.5,0.2,0.461025702303
1.0,1.0,0.5,0.1,0.459392235274
1.0,1.0,0.4,0.9,0.302968259549
1.0,1.0,0.4,0.7,0.422687901407
1.0,1.0,0.4,0.5,0.31581861498
1.0,1.0,0.4,0.3,0.454748418869
1.0,1.0,0.4,0.1,0.461025702303
1.0,1.0,0.3,1.0,0.322114635446
1.0,1.0,0.3,0.9,0.350903490229
1.0,1.0,0.3,0.8,0.302968259549
1.0,1.0,0.3,0.7,0.422687901407
1.0,1.0,0.3,0.6,0.422687901407
1.0,1.0,0.3,0.5,0.293635701338
1.0,1.0,0.3,0.4,0.31581861498
1.0,1.0,0.3,0.3,0.31581861498
1.0,1.0,0.3,0.2,0.454748418869
1.0,1.0,0.3,0.1,0.483909377119
1.0,1.0,0.3,0.0,0.461025702303
1.0,1.0,0.2,0.9,0.322114635446
1.0,1.0,0.2,0.7,0.302968259549
1.0,1.0,0.2,0.5,0.422687901407
1.0,1.0,0.2,0.3,0.31581861498
1.0,1.0,0.2,0.1,0.454748418869
1.0,1.0,0.1,1.0,0.251855319719
1.0,1.0,0.1,0.9,0.330767564267
1.0,1.0,0.1,0.8,0.322114635446
1.0,1.0,0.1,0.7,0.350903490229
1.0,1.0,0.1,0.6,0.302968259549
1.0,1.0,0.1,0.5,0.422687901407
1.0,1.0,0.1,0.4,0.422687901407
1.0,1.0,0.1,0.3,0.293635701338
1.0,1.0,0.1,0.2,0.31581861498
1.0,1.0,0.1,0.1,0.31581861498
1.0,1.0,0.0,0.9,0.251855319719
1.0,1.0,0.0,0.7,0.322114635446
1.0,1.0,0.0,0.3,0.422687901407
1.0,1.0,0.0,0.1,0.31581861498
1.0,0.9,1.0,1.0,0.31581861498
1.0,0.9,1.0,0.9,0.483909377119
1.0,0.9,1.0,0.8,0.521245150106
1.0,0.9,1.0,0.7,0.554682565861
1.0,0.9,1.0,0.6,0.459961689916
1.0,0.9,1.0,0.5,0.389237759181
1.0,0.9,1.0,0.4,0.441218340672
1.0,0.9,1.0,0.3,0.213644244663
1.0,0.9,1.0,0.2,0.203407384665
1.0,0.9,1.0,0.1,0.202136263537
1.0,0.9,1.0,0.0,0.202136263537
1.0,0.9,0.9,1.0,0.31581861498
1.0,0.9,0.9,0.9,0.31581861498
1.0,0.9,0.9,0.8,0.483909377119
1.0,0.9,0.9,0.7,0.521245150106
1.0,0.9,0.9,0.6,0.554682565861
1.0,0.9,0.9,0.5,0.459961689916
1.0,0.9,0.9,0.4,0.389237759181
1.0,0.9,0.9,0.3,0.441218340672
1.0,0.9,0.9,0.2,0.213644244663
1.0,0.9,0.9,0.1,0.203407384665
1.0,0.9,0.9,0.0,0.202136263537
1.0,0.9,0.8,1.0,0.293635701338
1.0,0.9,0.8,0.9,0.31581861498
1.0,0.9,0.8,0.8,0.31581861498
1.0,0.9,0.8,0.7,0.483909377119
1.0,0.9,0.8,0.6,0.521245150106
1.0,0.9,0.8,0.5,0.554682565861
1.0,0.9,0.8,0.4,0.459961689916
1.0,0.9,0.8,0.3,0.389237759181
1.0,0.9,0.8,0.2,0.441218340672
1.0,0.9,0.8,0.1,0.213644244663
1.0,0.9,0.8,0.0,0.203407384665
1.0,0.9,0.7,1.0,0.422687901407
1.0,0.9,0.7,0.9,0.293635701338
1.0,0.9,0.7,0.8,0.31581861498
1.0,0.9,0.7,0.7,0.31581861498
1.0,0.9,0.7,0.6,0.483909377119
1.0,0.9,0.7,0.5,0.521245150106
1.0,0.9,0.7,0.4,0.554682565861
1.0,0.9,0.7,0.3,0.459961689916
1.0,0.9,0.7,0.2,0.389237759181
1.0,0.9,0.7,0.1,0.441218340672
1.0,0.9,0.7,0.0,0.213644244663
1.0,0.9,0.6,1.0,0.422687901407
1.0,0.9,0.6,0.9,0.422687901407
1.0,0.9,0.6,0.8,0.293635701338
1.0,0.9,0.6,0.7,0.31581861498
1.0,0.9,0.6,0.6,0.31581861498
1.0,0.9,0.6,0.5,0.483909377119
1.0,0.9,0.6,0.4,0.493009602271
1.0,0.9,0.6,0.3,0.554682565861
1.0,0.9,0.6,0.2,0.459961689916
1.0,0.9,0.6,0.1,0.389237759181
1.0,0.9,0.6,0.0,0.441218340672
1.0,0.9,0.5,1.0,0.302968259549
1.0,0.9,0.5,0.9,0.422687901407
1.0,0.9,0.5,0.8,0.422687901407
1.0,0.9,0.5,0.7,0.293635701338
1.0,0.9,0.5,0.6,0.31581861498
1.0,0.9,0.5,0.5,0.31581861498
1.0,0.9,0.5,0.4,0.483909377119
1.0,0.9,0.5,0.3,0.521245150106
1.0,0.9,0.5,0.2,0.554682565861
1.0,0.9,0.5,0.1,0.459961689916
1.0,0.9,0.5,0.0,0.389237759181
1.0,0.9,0.4,1.0,0.322114635446
1.0,0.9,0.4,0.9,0.302968259549
1.0,0.9,0.4,0.8,0.422687901407
1.0,0.9,0.4,0.7,0.422687901407
1.0,0.9,0.4,0.6,0.293635701338
1.0,0.9,0.4,0.5,0.31581861498
1.0,0.9,0.4,0.4,0.31581861498
1.0,0.9,0.4,0.3,0.483909377119
1.0,0.9,0.4,0.2,0.461025702303
1.0,0.9,0.4,0.1,0.554682565861
1.0,0.9,0.4,0.0,0.459961689916
1.0,0.9,0.3,1.0,0.325948743377
1.0,0.9,0.3,0.9,0.322114635446
1.0,0.9,0.3,0.8,0.302968259549
1.0,0.9,0.3,0.7,0.422687901407
1.0,0.9,0.3,0.6,0.422687901407
1.0,0.9,0.3,0.5,0.293635701338
1.0,0.9,0.3,0.4,0.31581861498
1.0,0.9,0.3,0.3,0.31581861498
1.0,0.9,0.3,0.2,0.483909377119
1.0,0.9,0.3,0.1,0.521245150106
