position,frequency,entailment,accurate,score
0.8,0.3,0.9,0.0,8685.898347991719
0.8,0.3,0.9,0.1,8855.183018982734
0.8,0.3,0.9,0.2,8975.616387754184
0.8,0.3,0.9,0.3,8886.479659076454
0.8,0.3,0.9,0.4,8591.191859106675
0.8,0.3,0.9,0.5,8587.259505005415
0.8,0.3,0.9,0.6,8587.259505005415
0.8,0.3,0.9,0.7,8587.259505005415
0.8,0.3,0.9,0.8,8587.259505005415
0.8,0.3,0.9,0.9,8481.180737844114
0.0,1.0,0.4,0.3,8855.183018982734
0.8,0.3,0.9,1.0,8481.182017953173
0.8,0.3,1.0,0.0,8685.898347991719
0.8,0.3,1.0,0.1,8855.183018982734
0.8,0.3,1.0,0.2,8975.616387754184
0.8,0.3,1.0,0.3,8886.479659076454
0.8,0.3,1.0,0.4,8591.191859106675
0.8,0.3,1.0,0.5,8587.259505005415
0.8,0.3,1.0,0.6,8587.259505005415
0.8,0.3,1.0,0.7,8587.259505005415
0.8,0.3,1.0,0.8,8587.259505005415
0.0,1.0,0.4,0.5,8855.183018982734
0.8,0.3,1.0,0.9,8481.180737844114
0.8,0.3,1.0,1.0,8481.182017953173
0.8,0.4,0.0,0.1,8796.370454027747
0.8,0.4,0.0,0.3,8970.606779290114
0.8,0.4,0.0,0.5,8651.478839949339
0.8,0.4,0.0,0.7,8587.259505005415
0.8,0.4,0.0,0.9,8587.259505005415
0.8,0.4,0.1,0.0,8685.898347991719
0.8,0.4,0.1,0.1,8796.370454027747
0.8,0.4,0.1,0.2,8855.183018982734
0.0,1.0,0.4,0.7,8970.606779290114
0.8,0.4,0.1,0.3,8970.606779290114
0.8,0.4,0.1,0.4,8886.479659076454
0.8,0.4,0.1,0.5,8651.478839949339
0.8,0.4,0.1,0.6,8587.259505005415
0.8,0.4,0.1,0.7,8587.259505005415
0.8,0.4,0.1,0.8,8587.259505005415
0.8,0.4,0.1,0.9,8587.259505005415
0.8,0.4,0.1,1.0,8587.259505005415
0.8,0.4,0.2,0.1,8796.370454027747
0.8,0.4,0.2,0.3,8970.606779290114
0.0,1.0,0.4,0.9,9045.015073868006
0.8,0.4,0.2,0.5,8651.478839949339
0.8,0.4,0.2,0.7,8587.259505005415
0.8,0.4,0.2,0.9,8587.259505005415
0.8,0.4,0.3,0.0,8685.898347991719
0.8,0.4,0.3,0.1,8796.370454027747
0.8,0.4,0.3,0.2,8855.183018982734
0.8,0.4,0.3,0.3,8970.606779290114
0.8,0.4,0.3,0.4,8886.479659076454
0.8,0.4,0.3,0.5,8651.478839949339
