position,clausal conjunction,adverbial indicator,NP-VP-NP,score
1.0,1.0,1.0,0.9,0.478007759942
1.0,1.0,1.0,0.7,0.441463593111
1.0,1.0,1.0,0.3,0.400697095766
1.0,1.0,1.0,0.1,0.399155236455
1.0,1.0,0.9,1.0,0.4855361014
1.0,1.0,0.9,0.9,0.478007759942
1.0,1.0,0.9,0.8,0.459791640843
1.0,1.0,0.9,0.7,0.441463593111
1.0,1.0,0.9,0.6,0.439649240664
1.0,1.0,0.9,0.5,0.419594938911
1.0,1.0,0.9,0.4,0.404795841716
1.0,1.0,0.9,0.3,0.400697095766
1.0,1.0,0.9,0.2,0.400697095766
1.0,1.0,0.9,0.1,0.399155236455
1.0,1.0,0.9,0.0,0.395459766568
1.0,1.0,0.8,0.9,0.478007759942
1.0,1.0,0.8,0.7,0.441463593111
1.0,1.0,0.8,0.5,0.437904878646
1.0,1.0,0.8,0.3,0.400697095766
1.0,1.0,0.8,0.1,0.399155236455
1.0,1.0,0.7,1.0,0.4855361014
1.0,1.0,0.7,0.9,0.478007759942
1.0,1.0,0.7,0.8,0.459791640843
1.0,1.0,0.7,0.7,0.441463593111
1.0,1.0,0.7,0.6,0.439649240664
1.0,1.0,0.7,0.5,0.437904878646
1.0,1.0,0.7,0.4,0.423105781451
1.0,1.0,0.7,0.3,0.400697095766
1.0,1.0,0.7,0.2,0.400697095766
1.0,1.0,0.7,0.1,0.399155236455
1.0,1.0,0.7,0.0,0.395459766568
1.0,1.0,0.6,0.9,0.478007759942
1.0,1.0,0.6,0.7,0.441463593111
1.0,1.0,0.6,0.5,0.437904878646
1.0,1.0,0.6,0.3,0.419007035501
1.0,1.0,0.6,0.1,0.399155236455
1.0,1.0,0.5,0.9,0.478007759942
1.0,1.0,0.5,0.8,0.459791640843
1.0,1.0,0.5,0.7,0.441463593111
1.0,1.0,0.5,0.6,0.439649240664
1.0,1.0,0.5,0.4,0.423105781451
1.0,1.0,0.5,0.3,0.419007035501
1.0,1.0,0.5,0.2,0.419007035501
1.0,1.0,0.5,0.1,0.399155236455
1.0,1.0,0.4,0.9,0.478007759942
1.0,1.0,0.4,0.7,0.441463593111
1.0,1.0,0.4,0.5,0.437904878646
1.0,1.0,0.4,0.3,0.419007035501
1.0,1.0,0.4,0.1,0.41746517619
1.0,1.0,0.3,1.0,0.4855361014
1.0,1.0,0.3,0.9,0.478007759942
1.0,1.0,0.3,0.8,0.459791640843
1.0,1.0,0.3,0.7,0.441463593111
1.0,1.0,0.3,0.6,0.439649240664
1.0,1.0,0.3,0.5,0.437904878646
1.0,1.0,0.3,0.4,0.423105781451
1.0,1.0,0.3,0.3,0.419007035501
1.0,1.0,0.3,0.2,0.419007035501
1.0,1.0,0.3,0.1,0.41746517619
1.0,1.0,0.3,0.0,0.413769706303
1.0,1.0,0.2,0.9,0.478007759942
1.0,1.0,0.2,0.7,0.441463593111
1.0,1.0,0.2,0.5,0.437904878646
1.0,1.0,0.2,0.3,0.419007035501
