position,frequency,entailment,distance_from_publisher_date,accurate,score
0.7,0.5,0.3,0.8,0.3,0.8566230929554592
0.7,0.5,0.3,0.8,0.4,0.8496118773967306
0.7,0.5,0.3,0.8,0.5,0.858202055897208
0.7,0.5,0.3,0.8,0.6,0.8534149902932098
0.7,0.5,0.3,0.8,0.7,0.8629979060620725
0.7,0.5,0.3,0.8,0.8,0.8511850532745928
0.7,0.5,0.3,0.8,0.9,0.8629979060620725
0.7,0.5,0.3,0.8,1.0,0.8604783993520669
0.7,0.5,0.3,0.9,0.0,0.8566335589261066
0.7,0.5,0.3,0.9,0.1,0.8495637957599806
0.0,0.8,0.3,0.3,0.0,0.8592871985713793
0.7,0.5,0.3,0.9,0.2,0.8566335589261066
0.7,0.5,0.3,0.9,0.3,0.8505335484517568
0.7,0.5,0.3,0.9,0.4,0.8567265369097017
0.7,0.5,0.3,0.9,0.5,0.8505335484517568
0.7,0.5,0.3,0.9,0.6,0.8582950338808033
0.7,0.5,0.3,0.9,0.7,0.8533693268628552
0.7,0.5,0.3,0.9,0.8,0.8625219683440476
0.7,0.5,0.3,0.9,0.9,0.8511850532745928
0.7,0.5,0.3,0.9,1.0,0.8702808425384085
0.7,0.5,0.3,1.0,0.0,0.8453387075217889
0.0,0.8,0.3,0.3,0.1,0.8565501766267609
0.7,0.5,0.3,1.0,0.1,0.8566335589261066
0.7,0.5,0.3,1.0,0.2,0.8458248892066008
0.7,0.5,0.3,1.0,0.3,0.8566335589261066
0.7,0.5,0.3,1.0,0.4,0.8448575547212201
0.7,0.5,0.3,1.0,0.5,0.8560179399984774
0.7,0.5,0.3,1.0,0.6,0.8486207912512315
0.7,0.5,0.3,1.0,0.7,0.8640554255449737
0.7,0.5,0.3,1.0,0.8,0.8527993713655808
0.7,0.5,0.3,1.0,0.9,0.862476304913693
0.7,0.5,0.3,1.0,1.0,0.8574104702680276
0.0,0.8,0.3,0.3,0.2,0.8631501293618732
0.7,0.6,0.3,0.0,0.0,1.0086593324800683
0.7,0.6,0.3,0.0,0.1,0.9895154849560709
0.7,0.6,0.3,0.0,0.2,1.0086593324800683
0.7,0.6,0.3,0.0,0.3,0.9971993421030244
0.7,0.6,0.3,0.0,0.4,1.0219296154029849
0.7,0.6,0.3,0.0,0.5,0.9981690947948004
0.7,0.6,0.3,0.0,0.6,1.0127723039000691
0.7,0.6,0.3,0.0,0.7,0.9981690947948004
0.7,0.6,0.3,0.0,0.8,1.0118049694146884
0.7,0.6,0.3,0.0,0.9,1.0018042884575737
0.0,0.8,0.3,0.3,0.3,0.8604131074172546
0.7,0.6,0.3,0.0,1.0,1.0246993068794843
0.7,0.6,0.3,0.1,0.0,0.9834343927326892
0.7,0.6,0.3,0.1,0.1,0.9979328069961462
0.7,0.6,0.3,0.1,0.2,0.9839205744175012
0.7,0.6,0.3,0.1,0.3,1.0010156480997279
0.7,0.6,0.3,0.1,0.4,0.9961762083017965
0.7,0.6,0.3,0.1,0.5,1.0086995052466814
0.7,0.6,0.3,0.1,0.6,0.9961762083017965
0.7,0.6,0.3,0.1,0.7,1.0080838863190524
0.7,0.6,0.3,0.1,0.8,0.9952545372467705
0.0,0.8,0.3,0.3,0.4,0.8626285282134937
0.7,0.6,0.3,0.1,0.9,1.0090985353576736
0.7,0.6,0.3,0.1,1.0,1.0091936893808366
0.7,0.6,0.3,0.2,0.0,0.9974112058477668
0.7,0.6,0.3,0.2,0.1,0.9829508217257253
0.7,0.6,0.3,0.2,0.2,0.9974112058477668
0.7,0.6,0.3,0.2,0.3,0.9865552639776863
0.7,0.6,0.3,0.2,0.4,0.9996019862714154
0.7,0.6,0.3,0.2,0.5,0.9875250166694624
0.7,0.6,0.3,0.2,0.6,1.00667022449074
0.7,0.6,0.3,0.2,0.7,0.9952088738164159
0.0,0.8,0.3,0.3,0.5,0.8604131074172546
0.7,0.6,0.3,0.2,0.8,1.0057028900053593
0.7,0.6,0.3,0.2,0.9,0.9988440674791891
0.7,0.6,0.3,0.2,1.0,1.0227078837042243
0.7,0.6,0.3,0.3,0.0,0.9771495961443628
0.7,0.6,0.3,0.3,0.1,0.9979328069961462
0.7,0.6,0.3,0.3,0.2,0.9828678844477626
0.7,0.6,0.3,0.3,0.3,1.0010156480997279
0.7,0.6,0.3,0.3,0.4,0.9869560901781405
0.7,0.6,0.3,0.3,0.5,1.0010156480997279
0.7,0.6,0.3,0.3,0.6,0.9869560901781405
0.0,0.8,0.3,0.3,0.6,0.8850360167751788
0.7,0.6,0.3,0.3,0.7,1.0004000291720987
0.7,0.6,0.3,0.3,0.8,0.9937182762700678
0.7,0.6,0.3,0.3,0.9,1.0081531126425292
0.7,0.6,0.3,0.3,1.0,1.0067120056889893
0.7,0.6,0.3,0.4,0.0,0.8608206170228829
0.7,0.6,0.3,0.4,0.1,0.8495637957599805
0.7,0.6,0.3,0.4,0.2,0.8655691526345068
0.7,0.6,0.3,0.4,0.3,0.8579167736235656
0.7,0.6,0.3,0.4,0.4,0.8711555784104699
0.7,0.6,0.3,0.4,0.5,0.8588865263153416
0.0,0.8,0.3,0.3,0.7,0.8828205959789399
0.7,0.6,0.3,0.4,0.6,0.8705399594828408
0.7,0.6,0.3,0.4,0.7,0.8588865263153416
0.7,0.6,0.3,0.4,0.8,0.8683734153609457
0.7,0.6,0.3,0.4,0.9,0.8812940148770269
0.7,0.6,0.3,0.4,1.0,0.9015832721225866
0.7,0.6,0.3,0.5,0.0,0.8500473667669448
0.7,0.6,0.3,0.5,0.1,0.8613422181712624
0.7,0.6,0.3,0.5,0.2,0.8505335484517568
0.7,0.6,0.3,0.5,0.3,0.8655691526345067
0.7,0.6,0.3,0.5,0.4,0.8598538608007225
0.0,0.8,0.3,0.3,0.8,0.8850360167751788
0.7,0.6,0.3,0.5,0.5,0.8691735948864678
0.7,0.6,0.3,0.5,0.6,0.8598538608007225
0.7,0.6,0.3,0.5,0.7,0.8685579759588387
0.7,0.6,0.3,0.5,0.8,0.8589321897456962
0.7,0.6,0.3,0.5,0.9,0.8670480816510349
0.7,0.6,0.3,0.5,1.0,0.8671860953287761
0.7,0.6,0.3,0.6,0.0,0.8608206170228829
0.7,0.6,0.3,0.6,0.1,0.8495637957599805
0.7,0.6,0.3,0.6,0.2,0.8608206170228829
0.7,0.6,0.3,0.6,0.3,0.8495637957599805
0.0,0.8,0.3,0.3,0.9,0.8799161743164023
0.0,0.0,0.3,0.9,0.0,0.848255964496897
0.7,0.6,0.3,0.6,0.4,0.8665838016731282
0.7,0.6,0.3,0.6,0.5,0.8543147495779998
0.7,0.6,0.3,0.6,0.6,0.8625725373931846
0.7,0.6,0.3,0.6,0.7,0.8543147495779998
0.7,0.6,0.3,0.6,0.8,0.8606597801926592
0.7,0.6,0.3,0.6,0.9,0.8527537079352262
0.7,0.6,0.3,0.6,1.0,0.8702351791080539
0.7,0.6,0.3,0.7,0.0,0.8500473667669448
0.7,0.6,0.3,0.7,0.1,0.8613422181712624
0.7,0.6,0.3,0.7,0.2,0.8505335484517568
0.0,0.8,0.3,0.3,1.0,0.8851174076871922
0.7,0.6,0.3,0.7,0.3,0.8608206170228829
0.7,0.6,0.3,0.7,0.4,0.8505335484517568
0.7,0.6,0.3,0.7,0.5,0.863986199221497
0.7,0.6,0.3,0.7,0.6,0.8552820840633806
0.7,0.6,0.3,0.7,0.7,0.8630407765063525
0.7,0.6,0.3,0.7,0.8,0.8534149902932098
0.7,0.6,0.3,0.7,0.9,0.862476304913693
0.7,0.6,0.3,0.7,1.0,0.8624327861050091
0.7,0.6,0.3,0.8,0.0,0.8561119577777271
0.7,0.6,0.3,0.8,0.1,0.8495637957599805
0.0,0.8,0.3,0.4,0.0,0.8541293259711874
0.7,0.6,0.3,0.8,0.2,0.8608206170228829
0.7,0.6,0.3,0.8,0.3,0.8495637957599805
0.7,0.6,0.3,0.8,0.4,0.8584396207091899
0.7,0.6,0.3,0.8,0.5,0.849566213966376
0.7,0.6,0.3,0.8,0.6,0.86162711467804
0.7,0.6,0.3,0.8,0.7,0.8543147495779998
0.7,0.6,0.3,0.8,0.8,0.8606597801926592
0.7,0.6,0.3,0.8,0.9,0.8527537079352262
0.7,0.6,0.3,0.8,1.0,0.8702351791080539
0.7,0.6,0.3,0.9,0.0,0.8500473667669448
0.0,0.8,0.3,0.4,0.1,0.8612218675421408
0.7,0.6,0.3,0.9,0.1,0.8566335589261066
0.7,0.6,0.3,0.9,0.2,0.8505335484517568
0.7,0.6,0.3,0.9,0.3,0.8561119577777271
0.7,0.6,0.3,0.9,0.4,0.8505335484517568
0.7,0.6,0.3,0.9,0.5,0.8545290043647172
0.7,0.6,0.3,0.9,0.6,0.8505335484517568
0.7,0.6,0.3,0.9,0.7,0.8630407765063525
0.7,0.6,0.3,0.9,0.8,0.8534149902932098
0.7,0.6,0.3,0.9,0.9,0.8640554255449737
0.7,0.6,0.3,0.9,1.0,0.8624327861050091
0.0,0.8,0.3,0.4,0.2,0.8579922567616812
0.7,0.6,0.3,1.0,0.0,0.8561119577777271
0.7,0.6,0.3,1.0,0.1,0.8495637957599805
0.7,0.6,0.3,1.0,0.2,0.8561119577777271
0.7,0.6,0.3,1.0,0.3,0.8495637957599805
0.7,0.6,0.3,1.0,0.4,0.8571266068163484
0.7,0.6,0.3,1.0,0.5,0.849566213966376
0.7,0.6,0.3,1.0,0.6,0.8602742244187306
0.7,0.6,0.3,1.0,0.7,0.8533693268628552
0.7,0.6,0.3,1.0,0.8,0.8606597801926592
0.7,0.6,0.3,1.0,0.9,0.8527537079352262
0.0,0.8,0.3,0.4,0.3,0.8650847983326346
0.7,0.6,0.3,1.0,1.0,0.872485748568012
0.7,0.7,0.3,0.0,0.0,0.986394613711074
0.7,0.7,0.3,0.0,0.1,1.0109099019400263
0.7,0.7,0.3,0.0,0.2,0.9895154849560709
0.7,0.7,0.3,0.0,0.3,1.010305853433063
0.7,0.7,0.3,0.0,0.4,0.9981690947948004
0.7,0.7,0.3,0.0,0.5,1.0148776301704046
0.7,0.7,0.3,0.0,0.6,0.9981690947948004
0.7,0.7,0.3,0.0,0.7,1.0142620112427754
0.7,0.7,0.3,0.0,0.8,0.998214758225155
0.0,0.8,0.3,0.4,0.4,0.8671307353582234
0.7,0.7,0.3,0.0,0.9,1.0132946767573947
0.7,0.7,0.3,0.0,1.0,0.9982469729537112
0.7,0.7,0.3,0.1,0.0,0.9996617753077248
0.7,0.7,0.3,0.1,0.1,0.9829508217257251
0.7,0.7,0.3,0.1,0.2,0.9996617753077248
0.7,0.7,0.3,0.1,0.3,0.9829508217257251
0.7,0.7,0.3,0.1,0.4,1.0109500747066393
0.7,0.7,0.3,0.1,0.5,0.9961762083017965
0.7,0.7,0.3,0.1,0.6,1.0119647237452607
0.7,0.7,0.3,0.1,0.7,0.9961762083017965
