,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,theguardian-1.xml,51bd183bdd5c2ea99cdc5f0dfe49feb816b0185371c8f30842549c33,,,,,,,,,,,,,,,,,,
what,four dead bodies and 120 wounded,,1,1,1,,,,,,,,,,,,,,,
,ram car packed with explosives into wall of consulate,,1,1,1,,,,,,,,,,,,,,,
,battling with Afghan and German security forces,,1,1,1,,,,,,,,,,,,,,,
when,late on Thursday,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
where,German consulate in Afghanistan,,0,1,1,,,,,,,,,,,,,,,
,Mazar-i-Sharif,,0,0,1,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,
who,Taliban,,0,1,1,,,,,,,,,,,,,,,
,Militants,,0,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
why,retaliation for Nato airstrikes on Kunduz,,0,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
how,ram,,0,1,1,,,,,,,,,,,,,,,
,suicide bomber,,1,1,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,nytimes-1.xml,921a73cf9c9293238dfb7460299647f9db62e582cee84dad8a4762e5,,,,,,,,,,,,,,,,,,
what,two people were killed and 84 wounded,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
when,Thursday night,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
where,Afghan City of Mazar-i-Sharif,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
who,Taliban,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
why,reprisal for airstrikes in Kunduz,,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
how,with a suicide car bomb,,1,1,1,,,,,,,,,,,,,,,
,gunfire and an explosion,,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,dailymail-2.xml,http://www.dailymail.co.uk/news/article-3923808/Mystery-Chinese-boy-fell-deep-massive-rescue-operation-involving-80-diggers-chute-empty.html,,,,,,,,,,,,,,,,,,
