position,frequency,conjunction,adjectives_adverbs,score
1.0,1.0,1.0,0.9,35.80263157894737
1.0,1.0,1.0,0.7,36.44736842105263
1.0,1.0,1.0,0.3,36.51315789473684
1.0,1.0,1.0,0.1,37.4078947368421
1.0,1.0,0.9,1.0,35.19736842105263
1.0,1.0,0.9,0.9,35.19736842105263
1.0,1.0,0.9,0.8,35.80263157894737
1.0,1.0,0.9,0.7,35.80263157894737
1.0,1.0,0.9,0.6,36.44736842105263
1.0,1.0,0.9,0.5,36.31578947368421
1.0,1.0,0.9,0.4,36.19736842105263
1.0,1.0,0.9,0.3,36.473684210526315
1.0,1.0,0.9,0.2,36.51315789473684
1.0,1.0,0.9,0.1,37.03947368421053
1.0,1.0,0.9,0.0,37.4078947368421
1.0,1.0,0.8,0.9,35.19736842105263
1.0,1.0,0.8,0.7,35.80263157894737
1.0,1.0,0.8,0.5,36.44736842105263
1.0,1.0,0.8,0.3,36.19736842105263
1.0,1.0,0.8,0.1,36.51315789473684
1.0,1.0,0.7,1.0,34.75
1.0,1.0,0.7,0.9,35.13157894736842
1.0,1.0,0.7,0.8,35.19736842105263
1.0,1.0,0.7,0.7,35.19736842105263
1.0,1.0,0.7,0.6,35.80263157894737
1.0,1.0,0.7,0.5,35.80263157894737
1.0,1.0,0.7,0.4,36.44736842105263
1.0,1.0,0.7,0.3,36.31578947368421
1.0,1.0,0.7,0.2,36.19736842105263
1.0,1.0,0.7,0.1,36.473684210526315
1.0,1.0,0.7,0.0,36.60526315789474
1.0,1.0,0.6,0.9,34.75
1.0,1.0,0.6,0.7,35.19736842105263
1.0,1.0,0.6,0.5,35.80263157894737
1.0,1.0,0.6,0.3,36.44736842105263
1.0,1.0,0.6,0.1,36.19736842105263
1.0,1.0,0.5,0.9,34.75
1.0,1.0,0.5,0.8,34.75
1.0,1.0,0.5,0.7,35.13157894736842
1.0,1.0,0.5,0.6,35.19736842105263
1.0,1.0,0.5,0.4,35.80263157894737
1.0,1.0,0.5,0.3,35.80263157894737
1.0,1.0,0.5,0.2,36.44736842105263
1.0,1.0,0.5,0.1,36.31578947368421
1.0,1.0,0.4,0.9,34.75
1.0,1.0,0.4,0.7,34.75
1.0,1.0,0.4,0.5,35.19736842105263
1.0,1.0,0.4,0.3,35.80263157894737
1.0,1.0,0.4,0.1,36.44736842105263
1.0,1.0,0.3,1.0,34.73684210526316
1.0,1.0,0.3,0.9,34.723684210526315
1.0,1.0,0.3,0.8,34.75
1.0,1.0,0.3,0.7,34.75
1.0,1.0,0.3,0.6,34.75
1.0,1.0,0.3,0.5,35.13157894736842
1.0,1.0,0.3,0.4,35.19736842105263
1.0,1.0,0.3,0.3,35.19736842105263
1.0,1.0,0.3,0.2,35.80263157894737
1.0,1.0,0.3,0.1,35.80263157894737
1.0,1.0,0.3,0.0,36.44736842105263
1.0,1.0,0.2,0.9,34.73684210526316
1.0,1.0,0.2,0.7,34.75
1.0,1.0,0.2,0.5,34.75
1.0,1.0,0.2,0.3,35.19736842105263
1.0,1.0,0.2,0.1,35.80263157894737
1.0,1.0,0.1,1.0,34.81578947368421
1.0,1.0,0.1,0.9,34.723684210526315
1.0,1.0,0.1,0.8,34.73684210526316
1.0,1.0,0.1,0.7,34.723684210526315
1.0,1.0,0.1,0.6,34.75
1.0,1.0,0.1,0.5,34.75
1.0,1.0,0.1,0.4,34.75
1.0,1.0,0.1,0.3,35.13157894736842
1.0,1.0,0.1,0.2,35.19736842105263
1.0,1.0,0.1,0.1,35.19736842105263
1.0,1.0,0.0,0.9,34.81578947368421
1.0,1.0,0.0,0.7,34.73684210526316
1.0,1.0,0.0,0.3,34.75
1.0,1.0,0.0,0.1,35.19736842105263
1.0,0.9,1.0,1.0,35.19736842105263
1.0,0.9,1.0,0.9,35.80263157894737
1.0,0.9,1.0,0.8,35.973684210526315
1.0,0.9,1.0,0.7,35.921052631578945
1.0,0.9,1.0,0.6,35.921052631578945
1.0,0.9,1.0,0.5,35.88157894736842
1.0,0.9,1.0,0.4,36.51315789473684
1.0,0.9,1.0,0.3,37.03947368421053
1.0,0.9,1.0,0.2,37.3421052631579
1.0,0.9,1.0,0.1,37.3421052631579
1.0,0.9,1.0,0.0,37.3421052631579
1.0,0.9,0.9,1.0,35.19736842105263
1.0,0.9,0.9,0.9,35.19736842105263
1.0,0.9,0.9,0.8,35.80263157894737
1.0,0.9,0.9,0.7,35.973684210526315
1.0,0.9,0.9,0.6,35.921052631578945
1.0,0.9,0.9,0.5,35.921052631578945
1.0,0.9,0.9,0.4,35.88157894736842
1.0,0.9,0.9,0.3,36.51315789473684
1.0,0.9,0.9,0.2,37.03947368421053
1.0,0.9,0.9,0.1,37.3421052631579
1.0,0.9,0.9,0.0,37.3421052631579
1.0,0.9,0.8,1.0,35.13157894736842
1.0,0.9,0.8,0.9,35.19736842105263
1.0,0.9,0.8,0.8,35.19736842105263
1.0,0.9,0.8,0.7,35.80263157894737
1.0,0.9,0.8,0.6,35.973684210526315
1.0,0.9,0.8,0.5,35.921052631578945
1.0,0.9,0.8,0.4,35.921052631578945
1.0,0.9,0.8,0.3,35.88157894736842
1.0,0.9,0.8,0.2,36.51315789473684
1.0,0.9,0.8,0.1,37.03947368421053
1.0,0.9,0.8,0.0,37.3421052631579
1.0,0.9,0.7,1.0,34.75
1.0,0.9,0.7,0.9,35.13157894736842
1.0,0.9,0.7,0.8,35.19736842105263
1.0,0.9,0.7,0.7,35.19736842105263
1.0,0.9,0.7,0.6,35.80263157894737
1.0,0.9,0.7,0.5,35.973684210526315
1.0,0.9,0.7,0.4,35.921052631578945
1.0,0.9,0.7,0.3,35.921052631578945
1.0,0.9,0.7,0.2,35.88157894736842
1.0,0.9,0.7,0.1,36.51315789473684
1.0,0.9,0.7,0.0,37.03947368421053
1.0,0.9,0.6,1.0,34.75
1.0,0.9,0.6,0.9,34.75
1.0,0.9,0.6,0.8,35.13157894736842
1.0,0.9,0.6,0.7,35.19736842105263
