position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.0,0.0,0.0,0.1,0.304505827005
0.0,0.0,0.1,0.0,0.33226638193
0.0,0.0,0.3,0.4,0.350012567865
0.0,0.2,0.1,0.6,0.399674281435
0.1,0.7,0.9,0.6,0.362485301792
0.7,0.6,0.7,0.5,0.293797233626
0.2,0.0,0.0,0.7,0.304505827005
0.1,0.9,0.3,0.4,0.27054002041
0.1,0.5,0.3,0.9,0.457008662859
0.1,0.4,0.7,0.4,0.28619588727
0.1,0.2,0.9,0.0,0.248697559962
0.1,0.8,0.2,0.3,0.29325171904
0.0,0.1,0.6,0.3,0.28619588727
0.1,0.2,0.7,0.3,0.296916248157
0.1,0.6,1.0,0.3,0.247800006401
0.1,1.0,0.1,0.5,0.229559179987
0.1,0.2,0.2,0.4,0.476831210404
0.9,0.3,0.4,0.9,0.304505827005
0.1,1.0,0.6,0.3,0.27054002041
0.1,0.5,0.1,0.3,0.229559179987
0.2,1.0,0.5,0.5,0.229559179987
0.3,0.3,0.0,0.7,0.304505827005
0.2,0.6,0.4,0.7,0.371332027135
1.0,0.5,0.4,0.1,0.255438714348
0.3,0.4,0.4,0.3,0.257253066795
0.4,0.7,0.7,0.3,0.211249240252
0.3,0.7,0.4,0.0,0.211249240252
0.1,0.3,0.5,0.5,0.304505827005
0.1,0.3,0.1,0.7,0.304505827005
0.1,0.3,0.7,0.5,0.28619588727
0.1,0.4,0.2,0.9,0.288146906482
0.3,0.9,0.0,0.2,0.229559179987
0.1,0.4,0.0,0.7,0.288248932319
0.2,0.8,0.3,0.4,0.292593734941
0.1,0.2,1.0,0.9,0.28619588727
0.0,0.1,0.8,0.8,0.307564374506
0.1,0.4,0.9,0.9,0.350012567865
0.1,0.4,0.5,0.1,0.251368899309
0.1,0.6,0.4,0.1,0.264211355821
0.1,0.2,0.5,0.7,0.30591032043
0.0,0.1,0.7,0.0,0.25623850237
0.1,0.2,0.4,0.0,0.326386489612
0.9,0.3,0.5,0.2,0.293797233626
0.2,0.2,0.6,0.3,0.28619588727
0.1,0.3,0.9,0.6,0.311549705362
0.1,0.8,0.2,0.4,0.27054002041
0.4,0.2,0.3,0.2,0.304505827005
0.1,1.0,0.6,0.4,0.29325171904
0.1,0.6,0.7,0.2,0.264211355821
0.1,0.8,1.0,0.3,0.211249240252
0.1,0.5,0.3,1.0,0.353631925603
0.2,0.4,0.9,0.0,0.248697559962
0.7,0.6,0.8,0.0,0.291998459813
0.1,0.4,0.7,0.5,0.296410024173
0.8,0.3,0.9,0.7,0.304505827005
0.9,0.3,0.5,0.4,0.304505827005
0.1,0.6,0.1,0.2,0.229559179987
0.3,0.7,0.4,0.2,0.21470628082
0.2,0.1,0.9,0.4,0.33226638193
0.3,0.4,0.4,0.5,0.304505827005
0.3,0.9,0.0,0.4,0.229559179987
0.2,1.0,0.5,0.7,0.283434323966
0.0,0.1,0.6,0.5,0.28619588727
0.1,0.2,0.9,0.1,0.268078496612
0.2,0.0,0.7,1.0,0.304505827005
0.1,0.2,0.7,0.4,0.288146906482
0.2,0.3,0.3,0.3,0.340517072669
0.2,0.0,0.1,0.0,0.28619588727
0.6,0.5,0.2,0.3,0.257253066795
1.0,0.5,0.4,0.9,0.304505827005
0.2,0.6,0.5,0.0,0.252024807759
0.8,0.3,0.9,0.9,0.304505827005
0.1,0.2,0.2,0.5,0.288146906482
0.5,0.6,0.7,0.0,0.211249240252
0.1,0.3,0.5,0.6,0.289366242013
0.1,0.3,0.7,0.6,0.272288708737
0.2,0.8,0.3,0.6,0.229559179987
0.0,0.1,0.0,0.9,0.371332027135
0.0,0.1,0.6,0.9,0.339990202142
0.1,0.3,0.1,0.8,0.269565310272
0.1,0.4,0.9,1.0,0.288146906482
0.1,1.0,0.6,0.5,0.204976417623
0.1,0.4,0.5,0.2,0.292593734941
0.1,0.5,0.6,0.7,0.33226638193
0.0,0.1,0.6,0.7,0.272083719126
0.1,0.2,1.0,1.0,0.451473061775
0.4,0.4,1.0,0.7,0.371332027135
0.5,0.3,0.1,0.4,0.304505827005
0.1,0.7,0.6,0.2,0.29325171904
0.5,1.0,0.7,0.1,0.211249240252
0.1,0.6,0.7,0.3,0.213944702945
0.1,0.6,1.0,0.5,0.211249240252
0.1,0.3,0.3,0.7,0.304505827005
0.2,0.1,0.3,0.7,0.304505827005
0.1,0.2,0.5,0.8,0.253283609573
0.1,0.5,0.4,0.0,0.211249240252
0.1,0.2,0.4,0.1,0.400517282365
0.3,0.3,0.1,0.0,0.229559179987
0.1,0.6,0.1,0.3,0.24825663385
0.0,0.3,0.5,0.0,0.21470628082
0.1,0.4,0.7,0.6,0.285272496192
0.7,0.6,0.8,0.6,0.304505827005
0.4,0.7,0.7,0.9,0.304505827005
0.2,0.4,0.9,0.2,0.211249240252
1.0,0.5,0.5,0.6,0.304505827005
0.2,1.0,0.5,0.9,0.259629493472
0.6,0.5,0.2,0.7,0.304505827005
0.1,0.5,0.1,0.5,0.304505827005
0.1,0.9,0.3,0.7,0.292593734941
0.3,0.1,0.9,0.7,0.28619588727
0.1,1.0,0.1,0.8,0.251368899309
0.1,1.0,0.6,0.6,0.264211355821
0.1,0.5,0.9,0.5,0.371332027135
0.1,0.7,0.9,0.9,0.304505827005
0.1,0.2,0.9,0.2,0.359078309464
0.1,0.6,0.4,0.3,0.248697559962
0.1,0.2,0.7,0.5,0.48194628473
0.1,0.8,1.0,0.5,0.211249240252
0.2,0.3,0.3,0.5,0.304505827005
0.0,0.3,0.4,0.1,0.211249240252
0.1,0.4,0.3,0.0,0.276692962083
0.2,0.8,0.3,0.8,0.296115253869
0.1,0.4,1.0,0.0,0.27054002041
0.2,0.0,0.8,0.3,0.371332027135
0.1,0.3,0.5,0.7,0.288146906482
0.1,0.3,0.7,0.7,0.247400082192
0.1,0.5,0.6,0.8,0.371332027135
0.1,0.2,0.2,0.6,0.33226638193
0.0,0.1,0.8,0.3,0.312132682615
0.1,0.3,0.1,0.9,0.274664989707
0.3,0.4,0.4,0.9,0.304505827005
0.1,0.8,0.6,0.5,0.211249240252
0.7,0.6,0.8,1.0,0.371332027135
