position,frequency,conjunction,adjectives_adverbs,score
1.0,1.0,1.0,0.9,0.361397485665
1.0,1.0,1.0,0.7,0.460001918168
1.0,1.0,1.0,0.3,0.811285565232
1.0,1.0,1.0,0.1,0.942319751726
1.0,1.0,0.9,1.0,0.291653209515
1.0,1.0,0.9,0.9,0.309065154979
1.0,1.0,0.9,0.8,0.361397485665
1.0,1.0,0.9,0.7,0.404502498901
1.0,1.0,0.9,0.6,0.460001918168
1.0,1.0,0.9,0.5,0.508736679203
1.0,1.0,0.9,0.4,0.746903892967
1.0,1.0,0.9,0.3,0.806669653734
1.0,1.0,0.9,0.2,0.811285565232
1.0,1.0,0.9,0.1,0.897776337976
1.0,1.0,0.9,0.0,0.942319751726
1.0,1.0,0.8,0.9,0.291653209515
1.0,1.0,0.8,0.7,0.361397485665
1.0,1.0,0.8,0.5,0.460001918168
1.0,1.0,0.8,0.3,0.746903892967
1.0,1.0,0.8,0.1,0.811285565232
1.0,1.0,0.7,1.0,0.284132340573
1.0,1.0,0.7,0.9,0.284299070529
1.0,1.0,0.7,0.8,0.291653209515
1.0,1.0,0.7,0.7,0.309065154979
1.0,1.0,0.7,0.6,0.361397485665
1.0,1.0,0.7,0.5,0.455985507304
1.0,1.0,0.7,0.4,0.460001918168
1.0,1.0,0.7,0.3,0.508736679203
1.0,1.0,0.7,0.2,0.746903892967
1.0,1.0,0.7,0.1,0.806669653734
1.0,1.0,0.7,0.0,0.811285565232
1.0,1.0,0.6,0.9,0.284132340573
1.0,1.0,0.6,0.7,0.291653209515
1.0,1.0,0.6,0.5,0.361397485665
1.0,1.0,0.6,0.3,0.460001918168
1.0,1.0,0.6,0.1,0.746903892967
1.0,1.0,0.5,0.9,0.284132340573
1.0,1.0,0.5,0.8,0.284132340573
1.0,1.0,0.5,0.7,0.284299070529
1.0,1.0,0.5,0.6,0.291653209515
1.0,1.0,0.5,0.4,0.361397485665
1.0,1.0,0.5,0.3,0.455985507304
1.0,1.0,0.5,0.2,0.460001918168
1.0,1.0,0.5,0.1,0.508736679203
1.0,1.0,0.4,0.9,0.231449893014
1.0,1.0,0.4,0.7,0.284132340573
1.0,1.0,0.4,0.5,0.291653209515
1.0,1.0,0.4,0.3,0.361397485665
1.0,1.0,0.4,0.1,0.460001918168
1.0,1.0,0.3,1.0,0.231449893014
1.0,1.0,0.3,0.9,0.231449893014
1.0,1.0,0.3,0.8,0.231449893014
1.0,1.0,0.3,0.7,0.284132340573
1.0,1.0,0.3,0.6,0.284132340573
1.0,1.0,0.3,0.5,0.284299070529
1.0,1.0,0.3,0.4,0.291653209515
1.0,1.0,0.3,0.3,0.309065154979
1.0,1.0,0.3,0.2,0.361397485665
1.0,1.0,0.3,0.1,0.455985507304
1.0,1.0,0.3,0.0,0.460001918168
1.0,1.0,0.2,0.9,0.231449893014
1.0,1.0,0.2,0.7,0.231449893014
1.0,1.0,0.2,0.5,0.284132340573
1.0,1.0,0.2,0.3,0.291653209515
1.0,1.0,0.2,0.1,0.361397485665
1.0,1.0,0.1,1.0,0.231449893014
1.0,1.0,0.1,0.9,0.231449893014
1.0,1.0,0.1,0.8,0.231449893014
1.0,1.0,0.1,0.7,0.231449893014
1.0,1.0,0.1,0.6,0.231449893014
1.0,1.0,0.1,0.5,0.284132340573
1.0,1.0,0.1,0.4,0.284132340573
1.0,1.0,0.1,0.3,0.284299070529
1.0,1.0,0.1,0.2,0.291653209515
1.0,1.0,0.1,0.1,0.309065154979
1.0,1.0,0.0,0.9,0.231449893014
1.0,1.0,0.0,0.7,0.231449893014
1.0,1.0,0.0,0.3,0.284132340573
1.0,1.0,0.0,0.1,0.291653209515
1.0,0.9,1.0,1.0,0.345614237181
1.0,0.9,1.0,0.9,0.404502498901
1.0,0.9,1.0,0.8,0.409444159423
1.0,0.9,1.0,0.7,0.484266950746
1.0,0.9,1.0,0.6,0.683687188101
1.0,0.9,1.0,0.5,0.793848581842
1.0,0.9,1.0,0.4,0.80439519685
1.0,0.9,1.0,0.3,0.897776337976
1.0,0.9,1.0,0.2,0.942319751726
1.0,0.9,1.0,0.1,0.953775049943
1.0,0.9,1.0,0.0,0.953775049943
1.0,0.9,0.9,1.0,0.297468889439
1.0,0.9,0.9,0.9,0.345614237181
1.0,0.9,0.9,0.8,0.404502498901
1.0,0.9,0.9,0.7,0.409444159423
1.0,0.9,0.9,0.6,0.484266950746
1.0,0.9,0.9,0.5,0.683687188101
1.0,0.9,0.9,0.4,0.793848581842
1.0,0.9,0.9,0.3,0.80439519685
1.0,0.9,0.9,0.2,0.897776337976
1.0,0.9,0.9,0.1,0.942319751726
1.0,0.9,0.9,0.0,0.953775049943
1.0,0.9,0.8,1.0,0.267735909428
1.0,0.9,0.8,0.9,0.297468889439
1.0,0.9,0.8,0.8,0.345614237181
1.0,0.9,0.8,0.7,0.404502498901
1.0,0.9,0.8,0.6,0.409444159423
1.0,0.9,0.8,0.5,0.484266950746
1.0,0.9,0.8,0.4,0.683687188101
1.0,0.9,0.8,0.3,0.793848581842
1.0,0.9,0.8,0.2,0.817320359507
1.0,0.9,0.8,0.1,0.897776337976
1.0,0.9,0.8,0.0,0.942319751726
1.0,0.9,0.7,1.0,0.283169141565
1.0,0.9,0.7,0.9,0.267735909428
1.0,0.9,0.7,0.8,0.297468889439
1.0,0.9,0.7,0.7,0.345614237181
1.0,0.9,0.7,0.6,0.404502498901
1.0,0.9,0.7,0.5,0.460927167827
1.0,0.9,0.7,0.4,0.484266950746
1.0,0.9,0.7,0.3,0.683687188101
1.0,0.9,0.7,0.2,0.793848581842
1.0,0.9,0.7,0.1,0.817320359507
1.0,0.9,0.7,0.0,0.897776337976
1.0,0.9,0.6,1.0,0.283169141565
1.0,0.9,0.6,0.9,0.283169141565
1.0,0.9,0.6,0.8,0.267735909428
1.0,0.9,0.6,0.7,0.297468889439
1.0,0.9,0.6,0.6,0.345614237181
