when_position,when_frequency,when_entailment,when_distance_from_publisher_date,when_accurate,score
0.6,0.7,0.5,0.7,0.0,0.09237248564881637
0.6,0.7,0.5,0.7,0.1,0.04617924487160512
0.6,0.7,0.5,0.7,0.2,0.09237248564881637
0.6,0.7,0.5,0.7,0.3,0.044201543776585604
0.6,0.7,0.5,0.7,0.4,0.09237248564881637
0.6,0.7,0.5,0.7,0.5,0.06362203000012179
0.6,0.7,0.5,0.7,0.6,0.11198647818767553
0.6,0.7,0.5,0.7,0.7,0.06362203000012179
0.6,0.7,0.5,0.7,0.8,0.10811990324403623
0.6,0.7,0.5,0.7,0.9,0.0596658406433645
0.6,0.0,0.8,0.2,0.9,0.6842929400314958
0.6,0.7,0.5,0.7,1.0,0.10243098471443646
0.6,0.7,0.5,0.8,0.0,0.04420154377658517
0.6,0.7,0.5,0.8,0.1,0.09237248564881681
0.6,0.7,0.5,0.8,0.2,0.044388297355509504
0.6,0.7,0.5,0.8,0.3,0.09237248564881681
0.6,0.7,0.5,0.8,0.4,0.044388297355509504
0.6,0.7,0.5,0.8,0.5,0.09237248564881681
0.6,0.7,0.5,0.8,0.6,0.059852594222288835
0.6,0.7,0.5,0.8,0.7,0.11207609260079308
0.6,0.7,0.5,0.8,0.8,0.06381867352150988
0.6,0.0,0.8,0.2,1.0,0.7782821854812467
0.6,0.7,0.5,0.8,0.9,0.10811990324403623
0.6,0.7,0.5,0.8,1.0,0.08126378344761319
0.6,0.7,0.5,0.9,0.0,0.09237248564881637
0.6,0.7,0.5,0.9,0.1,0.04617924487160512
0.6,0.7,0.5,0.9,0.2,0.09237248564881637
0.6,0.7,0.5,0.9,0.3,0.044201543776585604
0.6,0.7,0.5,0.9,0.4,0.09237248564881637
0.6,0.7,0.5,0.9,0.5,0.044201543776585604
0.6,0.7,0.5,0.9,0.6,0.09256599196413935
0.6,0.7,0.5,0.9,0.7,0.06362203000012179
0.6,0.0,0.8,0.3,0.0,0.5860118612336129
0.6,0.7,0.5,0.9,0.8,0.10708196948649824
0.6,0.7,0.5,0.9,0.9,0.0596658406433645
0.6,0.7,0.5,0.9,1.0,0.10243098471443646
0.6,0.7,0.5,1.0,0.0,0.04420154377658517
0.6,0.7,0.5,1.0,0.1,0.07311508516138406
0.6,0.7,0.5,1.0,0.2,0.04420154377658517
0.6,0.7,0.5,1.0,0.3,0.07311508516138406
0.6,0.7,0.5,1.0,0.4,0.04420154377658517
0.6,0.7,0.5,1.0,0.5,0.07311508516138406
0.6,0.7,0.5,1.0,0.6,0.04024535441982831
0.6,0.0,0.8,0.3,0.1,0.6380975130330006
0.6,0.7,0.5,1.0,0.7,0.09265560637725646
0.6,0.7,0.5,1.0,0.8,0.06381867352150988
0.6,0.7,0.5,1.0,0.9,0.10811990324403623
0.6,0.7,0.5,1.0,1.0,0.05995209857787059
0.6,0.7,0.6,0.0,0.0,0.6631051916716214
0.6,0.7,0.6,0.0,0.1,0.5975270939543816
0.6,0.7,0.6,0.0,0.2,0.6923972735524578
0.6,0.7,0.6,0.0,0.3,0.6269747109091529
0.6,0.7,0.6,0.0,0.4,0.7071386647565985
0.6,0.7,0.6,0.0,0.5,0.6456722914700503
0.6,0.0,0.8,0.3,0.2,0.5981839865041921
0.6,0.7,0.6,0.0,0.6,0.7112883604286783
0.6,0.7,0.6,0.0,0.7,0.6456722914700503
0.6,0.7,0.6,0.0,0.8,0.7112883604286783
0.6,0.7,0.6,0.0,0.9,0.6417161021132936
0.6,0.7,0.6,0.0,1.0,0.746136844849515
0.6,0.7,0.6,0.1,0.0,0.5834427276827103
0.6,0.7,0.6,0.1,0.1,0.6509985264949679
0.6,0.7,0.6,0.1,0.2,0.5834427276827103
0.6,0.7,0.6,0.1,0.3,0.6509985264949679
0.6,0.7,0.6,0.1,0.4,0.6296094369366408
0.6,0.0,0.8,0.3,0.3,0.6689526354435733
0.6,0.7,0.6,0.1,0.5,0.7011214251056562
0.6,0.7,0.6,0.1,0.6,0.6296094369366408
0.6,0.7,0.6,0.1,0.7,0.7011214251056562
0.6,0.7,0.6,0.1,0.8,0.6296094369366408
0.6,0.7,0.6,0.1,0.9,0.7013149314209792
0.6,0.7,0.6,0.1,1.0,0.6148779356749644
0.6,0.7,0.6,0.2,0.0,0.6315780402714326
0.6,0.7,0.6,0.2,0.1,0.5854204287777289
0.6,0.7,0.6,0.2,0.2,0.6488652903260153
0.6,0.7,0.6,0.2,0.3,0.5834427276827094
0.6,0.0,0.8,0.3,0.4,0.5981839865041921
0.6,0.7,0.6,0.2,0.4,0.6636066815301559
0.6,0.7,0.6,0.2,0.5,0.6021403082436079
0.6,0.7,0.6,0.2,0.6,0.6991816952520257
0.6,0.7,0.6,0.2,0.7,0.6335656262933977
0.6,0.7,0.6,0.2,0.8,0.6991816952520257
0.6,0.7,0.6,0.2,0.9,0.6296094369366408
0.6,0.7,0.6,0.2,1.0,0.7301636047292231
0.6,0.7,0.6,0.3,0.0,0.5640222414591741
0.6,0.7,0.6,0.3,0.1,0.6315780402714317
0.6,0.7,0.6,0.3,0.2,0.5834427276827103
0.6,0.0,0.8,0.3,0.5,0.6682677299707344
0.6,0.7,0.6,0.3,0.3,0.6509985264949679
0.6,0.7,0.6,0.3,0.4,0.598184118886851
0.6,0.7,0.6,0.3,0.5,0.6696961070558664
0.6,0.7,0.6,0.3,0.6,0.598184118886851
