position,frequency,conjunction,adjectives_adverbs,score
0.0,0.0,0.0,0.1,0.735195821272
0.0,0.0,0.1,0.0,0.504910220589
0.0,0.0,0.3,0.4,0.320784309316
0.0,0.2,0.1,0.6,0.227000984721
0.1,0.7,0.9,0.6,0.271109965434
0.7,0.6,0.7,0.5,0.845996750174
0.2,0.0,0.0,0.7,0.725965126343
0.1,0.9,0.3,0.4,0.374123019451
0.1,0.5,0.3,0.9,0.334282247856
0.1,0.4,0.7,0.4,0.896134658059
0.1,0.2,0.9,0.0,0.666753162718
0.1,0.8,0.2,0.3,0.470858159497
0.0,0.1,0.6,0.3,0.978099837396
0.1,0.2,0.7,0.3,0.42396570416
0.1,0.6,1.0,0.3,0.26998563852
0.1,1.0,0.1,0.5,0.743206867169
0.1,0.2,0.2,0.4,0.282230844689
0.9,0.3,0.4,0.9,0.805470419114
0.1,1.0,0.6,0.3,0.411363369007
0.1,0.5,0.1,0.3,0.763015028805
0.2,1.0,0.5,0.5,0.808077548306
0.3,0.3,0.0,0.7,0.749689749768
0.2,0.6,0.4,0.7,0.541045719842
1.0,0.5,0.4,0.1,0.959253473784
0.3,0.4,0.4,0.3,0.816147370646
0.4,0.7,0.7,0.3,0.852857744584
0.3,0.7,0.4,0.0,0.839246257734
0.1,0.3,0.5,0.5,0.810327354745
0.1,0.3,0.1,0.7,0.737701884693
0.1,0.3,0.7,0.5,0.863148588022
0.1,0.4,0.2,0.9,0.487452728631
0.3,0.9,0.0,0.2,0.795713450366
0.1,0.4,0.0,0.7,0.220785105472
0.2,0.8,0.3,0.4,0.568705445971
0.1,0.2,1.0,0.9,0.835297964365
0.0,0.1,0.8,0.8,0.420575779138
0.1,0.4,0.9,0.9,0.357299517151
0.1,0.4,0.5,0.1,0.509824914661
0.1,0.6,0.4,0.1,0.449059211036
0.1,0.2,0.5,0.7,0.261204628644
0.0,0.1,0.7,0.0,0.494712989114
0.1,0.2,0.4,0.0,0.283206023529
0.9,0.3,0.5,0.2,0.981605052138
0.2,0.2,0.6,0.3,0.985509197071
0.1,0.3,0.9,0.6,0.515096499684
0.1,0.8,0.2,0.4,0.353845893602
0.4,0.2,0.3,0.2,0.947141912694
0.1,1.0,0.6,0.4,0.493376278832
0.1,0.6,0.7,0.2,0.527727673978
0.1,0.8,1.0,0.3,0.930263840128
0.1,0.5,0.3,1.0,0.22457253122
0.2,0.4,0.9,0.0,0.666753162718
0.7,0.6,0.8,0.0,0.452042491852
0.1,0.4,0.7,0.5,0.424690128245
0.8,0.3,0.9,0.7,0.970288832832
0.9,0.3,0.5,0.4,0.946046795631
0.1,0.6,0.1,0.2,0.797782358094
0.3,0.7,0.4,0.2,0.463546757463
0.2,0.1,0.9,0.4,0.516762351144
0.3,0.4,0.4,0.5,0.800544218746
0.3,0.9,0.0,0.4,0.783517054307
0.2,1.0,0.5,0.7,0.371606122344
0.0,0.1,0.6,0.5,0.978099837396
0.1,0.2,0.9,0.1,0.42396570416
0.2,0.0,0.7,1.0,0.743728534664
0.1,0.2,0.7,0.4,0.666753162718
0.2,0.3,0.3,0.3,0.446037521035
0.2,0.0,0.1,0.0,0.958888843338
0.6,0.5,0.2,0.3,0.769826574624
1.0,0.5,0.4,0.9,0.808136859594
0.2,0.6,0.5,0.0,0.554496108709
0.8,0.3,0.9,0.9,0.918687483382
0.1,0.2,0.2,0.5,0.494560331791
0.5,0.6,0.7,0.0,0.994630167282
0.1,0.3,0.5,0.6,0.152168614295
0.1,0.3,0.7,0.6,0.343266455588
0.2,0.8,0.3,0.6,0.785585962035
0.0,0.1,0.0,0.9,0.525263533687
0.0,0.1,0.6,0.9,0.460417276501
0.1,0.3,0.1,0.8,0.146329569184
0.1,0.4,0.9,1.0,0.514123273707
0.1,1.0,0.6,0.5,0.31100012504
0.1,0.4,0.5,0.2,0.662889687555
0.1,0.5,0.6,0.7,0.38329953034
0.0,0.1,0.6,0.7,0.328451082237
0.1,0.2,1.0,1.0,0.200007686233
0.4,0.4,1.0,0.7,0.42307694825
0.5,0.3,0.1,0.4,0.808136859594
0.1,0.7,0.6,0.2,0.506089927682
0.5,1.0,0.7,0.1,0.857998712699
0.1,0.6,0.7,0.3,0.35610405214
0.1,0.6,1.0,0.5,0.916427669295
0.1,0.3,0.3,0.7,0.74571293059
0.2,0.1,0.3,0.7,0.779239222656
0.1,0.2,0.5,0.8,0.285915961866
0.1,0.5,0.4,0.0,0.906388564171
0.1,0.2,0.4,0.1,0.458533158663
0.3,0.3,0.1,0.0,0.830719165935
0.1,0.6,0.1,0.3,0.35388111633
0.0,0.3,0.5,0.0,0.526808240346
0.1,0.4,0.7,0.6,0.453082915052
0.7,0.6,0.8,0.6,0.845996750174
0.4,0.7,0.7,0.9,0.796225511455
0.2,0.4,0.9,0.2,0.980599214365
1.0,0.5,0.5,0.6,0.831502312366
0.2,1.0,0.5,0.9,0.491552340476
0.6,0.5,0.2,0.7,0.788697014381
0.1,0.5,0.1,0.5,0.747781838318
0.1,0.9,0.3,0.7,0.525263533687
0.3,0.1,0.9,0.7,0.981605039074
0.1,1.0,0.1,0.8,0.378452166292
0.1,1.0,0.6,0.6,0.423003953738
0.1,0.5,0.9,0.5,0.670632854675
0.1,0.7,0.9,0.9,0.808077548306
0.1,0.2,0.9,0.2,0.62134098777
0.1,0.6,0.4,0.3,0.554383508433
0.1,0.2,0.7,0.5,0.358312573916
0.1,0.8,1.0,0.5,0.831747035373
0.2,0.3,0.3,0.5,0.783517054307
0.0,0.3,0.4,0.1,0.978099837396
0.1,0.4,0.3,0.0,0.54868564842
0.2,0.8,0.3,0.8,0.417033456017
0.1,0.4,1.0,0.0,0.501315745052
0.2,0.0,0.8,0.3,0.69389953691
0.1,0.3,0.5,0.7,0.498659943637
0.1,0.3,0.7,0.7,0.140783752834
0.1,0.5,0.6,0.8,0.533938116682
0.1,0.2,0.2,0.6,0.342363681477
0.0,0.1,0.8,0.3,0.373734711874
0.1,0.3,0.1,0.9,0.242034213443
0.3,0.4,0.4,0.9,0.755131479154
0.1,0.8,0.6,0.5,0.821419156753
0.7,0.6,0.8,1.0,0.330545967293
0.3,0.3,0.1,0.2,0.79510248936
0.9,0.3,0.6,0.8,0.79591503898
0.4,0.2,0.3,0.8,0.779751276868
0.1,0.3,0.0,0.0,0.425253760177
0.1,0.5,0.4,0.1,0.438202864989
0.1,0.6,0.1,0.4,0.757195142714
0.5,0.6,0.7,0.6,0.816147380219
0.4,0.5,0.0,0.2,0.778787409633
0.1,0.3,0.3,0.8,0.11553037018
0.0,0.2,0.5,0.7,0.735195821272
0.1,1.0,0.6,0.7,0.337806935329
0.2,0.1,0.9,0.7,0.713353211512
0.1,0.4,0.7,0.7,0.357299517151
0.2,1.0,0.6,0.1,0.472640468555
0.1,0.2,0.5,0.9,0.342363681477
0.3,0.1,0.9,0.9,0.639381373245
0.2,0.5,0.6,0.6,0.570334989317
0.7,0.6,0.9,0.1,0.985509212821
0.0,0.1,0.9,0.0,0.978099837396
0.1,0.2,0.4,0.2,0.481342267913
0.1,0.7,0.2,1.0,0.31025187441
0.1,0.8,0.2,0.7,0.412319809862
0.1,0.5,0.9,0.6,0.438202864989
0.5,0.3,0.1,1.0,0.779239229524
0.0,0.9,0.5,0.0,0.854173404744
0.1,0.6,0.4,0.4,0.393594720551
0.3,0.7,0.4,0.8,0.770122631965
0.2,0.0,0.1,0.3,0.32696779734
0.1,0.7,0.6,0.4,0.364247292371
1.0,0.5,0.6,0.6,0.863872526439
0.6,0.5,0.3,0.2,0.414581652954
0.4,0.2,0.3,1.0,0.779239222656
0.2,0.6,0.5,0.4,0.832764060012
0.1,0.4,1.0,0.1,0.314257576661
0.1,0.2,0.9,0.3,0.258272635077
0.3,0.4,0.5,0.0,0.546703110974
0.5,1.0,0.7,0.9,0.800544229516
0.1,0.2,0.7,0.6,0.835297964365
0.0,0.2,0.8,0.9,0.743206867169
0.1,0.4,0.0,1.0,0.370985118586
0.1,0.3,0.5,0.8,0.11553037018
0.1,0.4,0.5,0.4,0.314957226362
0.1,0.9,0.3,0.9,0.743206867169
0.7,0.0,0.6,0.2,0.958888855586
0.0,0.1,1.0,0.1,0.978099837396
0.1,0.3,0.1,1.0,0.3560460947
0.1,0.5,0.4,0.2,0.843227902423
0.4,0.7,0.8,0.4,0.852857744584
0.6,0.5,0.3,0.4,0.330545967293
0.1,0.2,0.2,0.7,0.745954968266
0.2,0.0,0.8,0.7,0.440923353809
0.3,0.5,0.9,0.4,0.98240370524
0.5,0.0,0.1,0.1,0.953203477577
0.0,0.4,0.2,0.1,0.81719044348
0.1,0.7,1.0,0.0,0.563167846456
0.1,0.8,1.0,0.7,0.443515287865
0.1,0.3,0.0,0.1,0.407628774789
0.2,1.0,0.6,0.5,0.825846196761
0.1,0.3,0.9,0.9,0.291507050444
0.1,0.7,0.3,0.0,0.425214434429
0.1,0.3,0.3,0.9,0.737701884693
0.0,0.5,0.8,0.5,0.854173404744
0.1,0.5,0.1,0.7,0.487452728631
0.1,0.5,0.9,0.7,0.843227902423
1.0,0.5,0.7,0.1,0.985065259754
0.1,0.6,0.4,0.5,0.788605847206
0.1,0.7,0.6,0.5,0.409113562567
0.3,0.0,0.8,1.0,0.755689217448
0.2,0.1,0.9,0.9,0.605940804558
0.0,0.2,1.0,0.5,0.978099837396
0.1,0.2,0.5,1.0,0.414825873283
0.1,0.8,0.6,0.7,0.788605847206
0.1,0.2,0.4,0.3,0.60369906114
0.1,0.6,1.0,0.8,0.395016396742
0.1,0.6,0.7,0.6,0.554383508433
0.0,0.2,0.3,0.8,0.339857618056
0.1,0.9,0.3,1.0,0.320784309316
0.1,0.5,0.6,1.0,0.400937517505
0.5,0.0,0.1,0.3,0.34626050205
0.1,0.4,1.0,0.2,0.442646306141
0.2,0.8,0.4,0.3,0.462176626144
0.2,0.0,0.8,0.9,0.342876773493
0.2,0.6,0.5,0.6,0.524250762038
0.1,0.4,0.3,0.2,0.832764060012
0.2,0.9,0.5,0.1,0.854685458957
0.1,0.4,0.1,0.0,0.832764060012
0.1,0.2,0.9,0.4,0.697242941453
0.1,0.8,1.0,0.8,0.436082284763
0.1,0.3,0.7,0.9,0.498659943637
0.0,0.0,0.2,0.9,0.400934948402
0.0,0.1,0.9,0.3,0.294466323692
0.1,0.3,0.5,0.9,0.183082576856
0.4,0.5,0.0,0.8,0.749889779564
0.1,0.2,0.7,0.7,0.398087180725
0.1,0.8,0.2,0.9,0.410507991965
0.5,0.3,0.2,0.5,0.808136859594
0.1,0.9,0.8,0.4,0.564847350844
0.2,0.3,0.3,0.9,0.755131479154
0.1,0.7,0.3,0.1,0.554383508433
0.7,0.6,1.0,0.0,0.452042491852
0.1,0.3,0.2,0.0,0.863148588022
0.2,1.0,0.6,0.9,0.514123273707
1.0,0.5,0.7,0.7,0.863872526439
0.4,0.7,0.8,0.8,0.810219155745
0.1,0.4,0.7,0.9,0.357708711939
0.1,0.7,0.6,0.6,0.568705445971
0.1,1.0,0.6,1.0,0.743206867169
0.0,0.1,0.5,0.9,0.10564170648
0.1,0.2,0.2,0.8,0.0928232525285
0.6,0.5,0.3,1.0,0.76031143979
0.1,0.3,0.0,0.2,0.424141059177
0.3,0.0,0.9,0.1,0.958888843338
0.3,0.4,0.5,0.4,0.816147370646
0.1,0.3,0.3,1.0,0.342363681477
0.2,0.0,0.9,0.0,0.958888843338
1.0,0.5,0.7,0.9,0.788475266268
0.1,0.6,1.0,0.9,0.554383508433
0.8,0.4,0.1,0.6,0.808136859594
0.7,0.6,1.0,0.2,0.452042491852
0.1,0.6,0.7,0.7,0.393594720551
0.2,0.5,0.6,1.0,0.461669754753
0.5,0.6,0.8,0.5,0.859857253264
0.5,0.3,0.2,0.7,0.783850895773
0.2,0.0,0.1,0.6,0.73397617224
0.4,0.5,0.0,1.0,0.749889779564
0.0,0.1,0.9,0.6,0.978099837396
0.1,0.5,0.7,0.0,0.418309030012
0.9,0.3,0.8,0.5,0.981605052138
0.3,0.9,0.1,0.5,0.783517054307
0.1,0.2,0.6,0.0,0.448302980289
0.1,0.4,1.0,0.3,0.342682439626
0.2,0.1,1.0,0.0,0.523376839722
0.3,0.7,0.5,0.3,0.843227902423
0.0,0.2,0.4,0.5,0.743206867169
0.1,0.2,0.4,0.4,0.398087180725
0.5,0.0,0.1,0.7,0.743728547348
0.1,0.4,0.3,0.3,0.197322248799
0.2,0.6,0.5,0.8,0.770122631965
0.7,0.0,0.7,0.2,0.958888855586
0.2,0.2,0.7,0.4,0.546703110974
0.1,0.4,0.5,0.6,0.227181151572
0.0,0.2,0.0,0.9,0.735195821272
0.1,0.4,0.1,0.1,0.399231750001
0.1,1.0,0.7,0.0,0.445174623097
0.1,1.0,0.2,0.2,0.798901037417
0.5,0.6,0.8,0.7,0.816147380219
0.1,0.3,0.7,1.0,0.317673644565
0.1,0.2,0.9,0.5,0.354232042571
0.2,1.0,0.7,0.1,0.831747035373
0.8,0.4,0.1,1.0,0.779751285002
0.1,0.9,0.4,0.1,0.411363369007
0.6,0.5,0.4,0.3,0.358304122197
0.1,0.2,0.7,0.8,0.223031179963
1.0,0.5,0.8,0.4,0.980266298199
0.1,0.5,0.9,0.9,0.536614859977
0.1,0.4,0.7,1.0,0.747781838318
0.0,0.2,0.6,0.5,0.854173404744
0.1,0.3,0.2,0.1,0.424690128245
0.2,0.3,0.4,0.0,0.981605443669
0.1,0.6,1.0,1.0,0.393594720551
0.2,0.7,0.5,0.1,0.83726680955
0.5,0.0,0.1,0.9,0.333002905609
0.1,0.3,1.0,0.0,0.426241009458
0.8,0.4,0.2,0.3,0.817036484093
0.1,0.8,1.0,1.0,0.302443877245
0.1,0.3,0.0,0.3,0.317673644565
0.1,0.3,0.4,0.0,0.458148069537
0.1,0.2,0.2,0.9,0.73794392237
0.7,0.6,1.0,0.8,0.845996750174
0.1,0.5,0.7,0.1,0.664538859844
0.6,0.5,0.4,0.5,0.769826574624
0.0,0.2,0.7,0.9,0.735195821272
0.1,0.7,1.0,0.3,0.469013411903
0.1,0.8,0.3,0.0,0.554383508433
0.2,0.5,0.7,0.1,0.979854178263
0.2,0.3,1.0,1.0,0.808041912296
0.1,1.0,0.7,0.1,0.472640468555
0.1,0.4,1.0,0.4,0.501315745052
0.1,0.6,0.1,0.8,0.525263533687
0.2,0.0,0.9,0.2,0.506067882541
0.2,0.9,0.5,0.5,0.808077548306
0.1,0.7,0.3,0.3,0.808077548306
0.3,0.1,1.0,0.7,0.981605039074
0.2,0.4,0.9,1.0,0.433245358869
0.1,0.4,0.3,0.4,0.514123273707
0.1,0.2,0.6,0.1,0.263412108366
0.1,0.7,0.6,0.8,0.539251809233
0.4,0.2,0.5,0.4,0.947141912694
0.1,0.4,0.5,0.7,0.34853220105
1.0,0.5,0.8,1.0,0.788475266268
0.1,0.2,0.4,0.5,0.465769366598
