position,frequency,named_entity,score
0.0,0.0,0.1,1.0
0.0,0.1,0.0,0.427854806822
0.0,0.3,0.4,0.278541759262
0.2,0.1,0.6,0.223143833598
0.1,0.6,0.3,0.866709442186
0.1,0.8,0.8,0.344734270614
0.1,0.7,0.0,0.366867385762
0.1,0.6,0.5,0.866709442186
0.1,0.0,0.9,0.504816968509
0.1,0.6,0.9,0.467688597775
0.1,0.6,0.7,0.320655053219
0.3,0.5,0.0,0.385203474082
0.3,0.4,0.1,0.891305587086
0.1,0.8,0.3,0.287855132896
0.2,0.5,0.7,0.866709442186
0.1,0.9,0.0,0.866709442186
0.9,0.5,0.0,0.887286935675
0.2,0.8,0.9,0.866709442186
0.1,1.0,0.1,0.866709442186
0.4,0.2,0.1,0.884905285352
0.5,0.8,0.5,0.876578530366
0.2,1.0,0.5,0.866709442186
0.2,0.3,0.8,0.441235686291
0.0,0.2,0.9,0.454639316131
0.1,0.9,0.3,0.225138913125
0.1,0.5,0.9,0.109763255693
0.1,0.9,0.6,0.866709442186
0.2,0.4,0.5,0.866709442186
0.2,0.0,0.9,0.855010257036
0.2,0.6,0.5,0.866709442186
0.2,0.7,0.9,0.866709442186
0.9,0.5,0.2,0.559230302338
0.1,0.8,0.6,0.223040385681
0.2,0.2,0.1,0.367685475464
0.2,0.1,0.3,0.884905285352
0.1,0.8,0.1,0.866709442186
0.7,1.0,0.5,0.891305587086
0.0,0.2,0.5,0.3278061435
0.1,0.6,0.0,0.109763255693
0.4,0.6,0.9,0.329405238066
0.3,0.8,0.6,0.866709442186
0.4,0.9,0.3,0.866709442186
0.4,0.4,0.5,0.886748477942
0.2,0.3,0.4,0.441235686291
0.5,0.1,0.1,0.879955164431
0.5,0.3,0.3,0.887286935675
0.2,0.5,0.8,0.265051072835
0.3,0.7,0.5,0.866709442186
0.1,0.6,0.2,0.0998492957779
0.1,0.8,0.9,0.159810769824
0.7,0.5,0.4,0.890921809339
0.8,0.7,0.7,0.890921809339
0.0,0.3,0.2,0.375334385902
0.2,0.0,0.3,0.167489989823
0.3,0.9,0.9,0.866709442186
0.1,0.6,0.4,0.0885420245943
0.1,0.7,1.0,0.338025553758
0.2,0.5,0.3,0.866709442186
0.0,0.2,0.3,0.307206279806
0.1,0.6,0.6,0.0808879730974
0.6,0.1,0.7,0.874952952717
0.1,0.6,0.8,0.068631847716
0.2,0.7,0.4,0.328800028849
0.9,0.5,0.6,0.559230302338
0.2,0.1,0.0,0.440354185625
0.1,0.9,0.4,0.204258812708
1.0,0.5,0.7,0.884905285352
0.1,0.9,0.7,0.222822119694
0.2,0.2,0.3,0.44523631567
0.7,0.1,0.2,0.874587613724
0.6,0.7,0.1,0.891305587086
0.4,0.7,0.1,0.866709442186
0.1,0.7,0.8,0.272293549266
0.1,0.3,0.0,0.866709442186
0.2,0.1,0.8,0.440354185625
0.2,0.9,0.1,0.25734759347
0.4,0.4,0.9,0.886748477942
0.2,0.3,0.5,0.343812161604
0.1,0.8,0.7,0.866709442186
0.1,0.5,1.0,0.348297240627
0.9,0.5,0.8,0.887286935675
0.3,0.6,0.5,0.866709442186
0.1,0.8,0.2,0.426508629571
0.4,0.0,0.9,0.855010257036
0.3,0.1,0.7,0.467371300867
0.3,0.0,1.0,0.855010257036
0.1,0.7,0.6,0.866709442186
0.0,0.3,0.7,0.313560068921
0.1,1.0,0.6,0.244410734363
0.3,0.7,0.7,0.866709442186
0.2,0.6,0.9,0.866709442186
0.2,0.0,0.5,0.855010257036
0.1,0.6,0.1,0.232781376509
0.1,0.8,1.0,0.426508629571
0.2,0.7,0.5,0.33157856736
0.2,0.3,0.1,0.891305587086
1.0,0.6,0.3,0.887286935675
0.3,0.3,0.5,0.886748477942
0.1,0.7,0.4,0.866709442186
0.5,0.9,0.0,0.866709442186
0.1,1.0,0.3,0.866709442186
0.3,0.5,0.4,0.432279689123
0.0,0.4,0.1,0.34226727244
0.1,0.8,0.0,0.235783941958
0.4,0.9,0.7,0.866709442186
0.1,0.7,0.2,0.273542541615
0.3,0.4,0.5,0.891305587086
0.1,1.0,0.0,0.426508629571
0.1,0.9,0.5,0.324861586134
0.2,0.1,0.5,0.884905285352
0.0,0.4,0.7,0.394239015448
0.7,0.1,0.6,0.874587613724
0.1,0.5,0.4,0.866709442186
0.2,0.8,0.3,0.426508629571
0.1,0.7,0.9,0.261297763826
0.5,0.6,0.5,0.49379506553
0.2,0.4,0.1,0.410883497589
0.1,0.4,0.1,0.866709442186
0.2,0.5,0.0,0.426508629571
0.1,1.0,0.7,0.243880349878
0.7,0.6,0.1,0.890921809339
0.2,0.9,0.3,0.359769441252
0.5,0.3,0.9,0.887286935675
0.6,0.2,0.5,0.88992992559
0.3,0.1,0.9,0.436636503459
0.4,0.9,0.9,0.866709442186
0.3,0.1,0.1,0.879518337542
0.4,0.7,0.5,0.866709442186
1.0,0.7,0.2,0.890921809339
0.2,0.6,0.1,0.432279689123
0.1,1.0,0.4,0.293430929171
0.3,0.3,0.8,0.451007375222
0.2,0.3,0.7,0.364750464924
0.1,0.9,0.9,0.244320054964
0.2,0.7,0.7,0.432279689123
1.0,0.7,0.4,0.890921809339
0.2,0.5,0.1,0.866709442186
0.6,0.2,0.9,0.88992992559
0.2,0.9,0.4,0.426508629571
0.9,0.7,0.0,0.890921809339
0.2,1.0,0.1,0.866709442186
0.4,0.3,0.3,0.890921809339
0.5,0.1,0.9,0.879955164431
0.0,0.5,0.1,0.361070202848
0.8,0.1,0.3,0.874587613724
0.3,1.0,0.5,0.866709442186
0.2,0.6,0.3,0.225513364846
0.4,0.7,0.7,0.46919892063
0.8,0.9,0.5,0.886253987195
0.3,0.8,0.0,0.866709442186
0.0,0.2,0.7,0.278541759262
0.1,0.8,0.4,0.226685107591
0.2,0.2,0.9,0.376894014907
0.5,0.9,0.6,0.866709442186
0.7,0.2,0.1,0.879518337542
0.1,0.9,0.1,0.167588974211
0.3,0.0,0.5,0.855010257036
0.0,0.3,1.0,0.31507897536
0.3,0.2,0.0,0.891933155935
0.6,0.8,0.1,0.891305587086
0.2,0.9,0.5,0.866709442186
0.0,0.3,0.1,0.265051072835
0.3,0.5,0.8,0.876578530366
0.7,0.6,0.7,0.890921809339
0.3,0.3,1.0,0.886748477942
0.1,0.1,0.0,0.886748477942
0.4,1.0,0.5,0.866709442186
0.3,0.9,0.3,0.866709442186
0.5,0.9,0.8,0.866709442186
0.5,0.7,0.0,0.891305587086
0.8,0.1,0.7,0.543818077622
