position,frequency,conjunction,adjectives_adverbs,score
0.0,0.0,0.0,0.1,0.72417610208
0.0,0.0,0.1,0.0,0.48430724482
0.0,0.0,0.3,0.4,0.292518996672
0.0,0.2,0.1,0.6,0.194832911072
0.1,0.7,0.9,0.6,0.240777471944
0.7,0.6,0.7,0.5,0.839587962303
0.2,0.0,0.0,0.7,0.71420137103
0.1,0.9,0.3,0.4,0.348077379001
0.1,0.5,0.3,0.9,0.306578647311
0.1,0.4,0.7,0.4,0.891812353562
0.1,0.2,0.9,0.0,0.652885225679
0.1,0.8,0.2,0.3,0.448838118842
0.0,0.1,0.6,0.3,0.977188485826
0.1,0.2,0.7,0.3,0.399994250002
0.1,0.6,1.0,0.3,0.239606356549
0.1,1.0,0.1,0.5,0.732520524913
0.1,0.2,0.2,0.4,0.252361142789
0.9,0.3,0.4,0.9,0.797375140464
0.1,1.0,0.6,0.3,0.386867472977
0.1,0.5,0.1,0.3,0.753152996427
0.2,1.0,0.5,0.5,0.800090777278
0.3,0.3,0.0,0.7,0.739273190457
0.2,0.6,0.4,0.7,0.521946510526
1.0,0.5,0.4,0.1,0.957557819347
0.3,0.4,0.4,0.3,0.808496422517
0.4,0.7,0.7,0.3,0.846734474984
0.3,0.7,0.4,0.0,0.832556561897
0.1,0.3,0.5,0.5,0.802434208643
0.1,0.3,0.1,0.7,0.726786454474
0.1,0.3,0.7,0.5,0.857453579492
0.1,0.4,0.2,0.9,0.4661232653
0.3,0.9,0.0,0.2,0.787212151627
0.1,0.4,0.0,0.7,0.188358360132
0.2,0.8,0.3,0.4,0.550757286706
0.1,0.2,1.0,0.9,0.828443961649
0.0,0.1,0.8,0.8,0.396463254408
0.1,0.4,0.9,0.9,0.330553772402
0.1,0.4,0.5,0.1,0.489426462206
0.1,0.6,0.4,0.1,0.42613201459
0.1,0.2,0.5,0.7,0.230459927948
0.0,0.1,0.7,0.0,0.473685659042
0.1,0.2,0.4,0.0,0.253376903363
0.9,0.3,0.5,0.2,0.980839555274
0.2,0.2,0.6,0.3,0.984906183472
0.1,0.3,0.9,0.6,0.494917422438
0.1,0.8,0.2,0.4,0.326956427489
0.4,0.2,0.3,0.2,0.944942257667
0.1,1.0,0.6,0.4,0.472293322019
0.1,0.6,0.7,0.2,0.508074238735
0.1,0.8,1.0,0.3,0.927361809879
0.1,0.5,0.3,1.0,0.192303398308
0.2,0.4,0.9,0.0,0.652885225679
0.7,0.6,0.8,0.0,0.700959652095
0.1,0.4,0.7,0.5,0.400748820747
0.8,0.3,0.9,0.7,0.969052409178
0.9,0.3,0.5,0.4,0.943801554042
0.1,0.6,0.1,0.2,0.789367156243
0.3,0.7,0.4,0.2,0.441222455312
0.2,0.1,0.9,0.4,0.496652597738
0.3,0.4,0.4,0.5,0.792243950783
0.3,0.9,0.0,0.4,0.774508206714
0.2,1.0,0.5,0.7,0.34545574208
0.0,0.1,0.6,0.5,0.977188485826
0.1,0.2,0.9,0.1,0.399994250002
0.2,0.0,0.7,1.0,0.732703997518
0.1,0.2,0.7,0.4,0.652885225679
0.2,0.3,0.3,0.3,0.422984577993
0.2,0.0,0.1,0.0,0.957178032816
0.6,0.5,0.2,0.3,0.760247991396
1.0,0.5,0.4,0.9,0.800152548897
0.2,0.6,0.5,0.0,0.535956632729
0.8,0.3,0.9,0.9,0.915303703031
0.1,0.2,0.2,0.5,0.473526648937
0.5,0.6,0.7,0.0,0.994406703321
0.1,0.3,0.5,0.6,0.116886417123
0.1,0.3,0.7,0.6,0.315936729778
0.2,0.8,0.3,0.6,0.77666321133
0.0,0.1,0.0,0.9,0.505507554088
0.0,0.1,0.6,0.9,0.437962742069
0.1,0.3,0.1,0.8,0.110804382145
0.1,0.4,0.9,1.0,0.493903695995
0.1,1.0,0.6,0.5,0.28232764691
0.1,0.4,0.5,0.2,0.648860973317
0.1,0.5,0.6,0.7,0.357635767254
0.0,0.1,0.6,0.7,0.300504819728
0.1,0.2,1.0,1.0,0.166716295692
0.4,0.4,1.0,0.7,0.681937400818
0.5,0.3,0.1,0.4,0.800152548897
0.1,0.7,0.6,0.2,0.485536045021
0.5,1.0,0.7,0.1,0.852089378631
0.1,0.6,0.7,0.3,0.329308558523
0.1,0.6,1.0,0.5,0.912949851525
0.1,0.3,0.3,0.7,0.735130877307
0.2,0.1,0.3,0.7,0.770052354561
0.1,0.2,0.5,0.8,0.256199614858
0.1,0.5,0.4,0.0,0.902492972472
0.1,0.2,0.4,0.1,0.436000217311
0.3,0.3,0.1,0.0,0.823674618087
0.1,0.6,0.1,0.3,0.326993115999
0.0,0.3,0.5,0.0,0.507116543186
0.1,0.4,0.7,0.6,0.430323163675
0.7,0.6,0.8,0.6,0.839587962303
0.4,0.7,0.7,0.9,0.787745514801
0.2,0.4,0.9,0.2,0.979791873513
1.0,0.5,0.5,0.6,0.824490348816
0.2,1.0,0.5,0.9,0.470393481091
0.6,0.5,0.2,0.7,0.779903721127
0.1,0.5,0.1,0.5,0.737285881923
0.1,0.9,0.3,0.7,0.505507554088
0.3,0.1,0.9,0.7,0.980839555274
0.1,1.0,0.1,0.8,0.352586681808
0.1,1.0,0.6,0.6,0.398992476664
0.1,0.5,0.9,0.5,0.65692636969
0.1,0.7,0.9,0.9,0.800090777278
0.1,0.2,0.9,0.2,0.605583238589
0.1,0.6,0.4,0.3,0.535839346631
0.1,0.2,0.7,0.5,0.331608987178
0.1,0.8,1.0,0.5,0.82474526196
0.2,0.3,0.3,0.5,0.774508206714
