position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.0,0.0,0.0,0.1,0.9996224660069485
0.0,0.0,0.1,0.0,0.5650255471485287
0.0,0.0,0.3,0.4,0.4474115007478046
0.0,0.2,0.1,0.6,0.31475235524781564
0.1,0.7,0.9,0.6,0.2037015485851144
0.7,0.6,0.7,0.5,0.9573250525626854
0.2,0.0,0.0,0.7,0.9996224660069486
0.1,0.9,0.3,0.4,0.4142232415458034
0.1,0.5,0.3,0.9,0.5631838352984743
0.1,0.4,0.7,0.4,0.9999999999999996
0.1,0.2,0.9,0.0,0.3851051348042361
0.1,0.8,0.2,0.3,0.5054848141220003
0.0,0.1,0.6,0.3,0.9999999999999997
0.1,0.2,0.7,0.3,0.4366684298184767
0.1,0.6,1.0,0.3,0.1887270477460244
0.1,1.0,0.1,0.5,0.6972777867083845
0.1,0.2,0.2,0.4,0.4814087176867198
0.9,0.3,0.4,0.9,0.9996224660069483
0.1,1.0,0.6,0.3,0.4142232415458033
0.1,0.5,0.1,0.3,0.6972777867083847
0.2,1.0,0.5,0.5,0.6972777867083846
0.3,0.3,0.0,0.7,0.9996224660069486
0.2,0.6,0.4,0.7,0.7738137170035108
1.0,0.5,0.4,0.1,0.8405059100289888
0.3,0.4,0.4,0.3,0.9129063747598198
0.4,0.7,0.7,0.3,0.6976553207014361
0.3,0.7,0.4,0.0,0.6976553207014363
0.1,0.3,0.5,0.5,0.9996224660069482
0.1,0.3,0.1,0.7,0.9996224660069483
0.1,0.3,0.7,0.5,0.9999999999999996
0.1,0.4,0.2,0.9,0.5126118049130645
0.3,0.9,0.0,0.2,0.6972777867083849
0.1,0.4,0.0,0.7,0.19287677202460854
0.2,0.8,0.3,0.4,0.6166348929235275
0.1,0.2,1.0,0.9,0.9999999999999997
0.0,0.1,0.8,0.8,0.4316324420441352
0.1,0.4,0.9,0.9,0.4474115007478046
0.1,0.4,0.5,0.1,0.3391958371036629
0.1,0.6,0.4,0.1,0.4161465210106848
0.1,0.2,0.5,0.7,0.3170179270338256
0.0,0.1,0.7,0.0,0.3304883461126776
0.1,0.2,0.4,0.0,0.2079384195631405
0.9,0.3,0.5,0.2,0.9573250525626854
0.2,0.2,0.6,0.3,0.9999999999999997
0.1,0.3,0.9,0.6,0.46984266757252646
0.1,0.8,0.2,0.4,0.4142232415458035
0.4,0.2,0.3,0.2,0.9996224660069486
0.1,1.0,0.6,0.4,0.5054848141220003
0.1,0.6,0.7,0.2,0.41614652101068483
0.1,0.8,1.0,0.3,0.6976553207014357
0.1,0.5,0.3,1.0,0.35083474862094843
0.2,0.4,0.9,0.0,0.38510513480423597
0.7,0.6,0.8,0.0,0.6208188003490497
0.1,0.4,0.7,0.5,0.41665442208931375
0.8,0.3,0.9,0.7,0.9996224660069485
0.9,0.3,0.5,0.4,0.9996224660069483
0.1,0.6,0.1,0.2,0.6972777867083847
0.3,0.7,0.4,0.2,0.261819390095375
0.2,0.1,0.9,0.4,0.5650255471485289
0.3,0.4,0.4,0.5,0.9996224660069486
0.3,0.9,0.0,0.4,0.6972777867083849
0.2,1.0,0.5,0.7,0.3506752894946426
0.0,0.1,0.6,0.5,0.9999999999999997
0.1,0.2,0.9,0.1,0.2988352523369537
0.2,0.0,0.7,1.0,0.9996224660069483
0.1,0.2,0.7,0.4,0.5126118049130645
0.2,0.3,0.3,0.3,0.6156792197193885
0.2,0.0,0.1,0.0,1.0
0.6,0.5,0.2,0.3,0.9129063747598197
1.0,0.5,0.4,0.9,0.9996224660069483
0.2,0.6,0.5,0.0,0.3641833018782476
