position,frequency,adjectives_adverbs,,score
0.0,0.0,0.0,0.1,0.6187510863371134
0.0,0.0,0.1,0.0,0.505133087591011
0.0,0.0,0.3,0.4,0.3098899768220784
0.0,0.2,0.1,0.6,0.18643372143767029
0.1,0.7,0.9,0.6,0.2286526750989164
0.7,0.6,0.7,0.5,0.7765180728496538
0.2,0.0,0.0,0.7,0.5212740729523769
0.1,0.9,0.3,0.4,0.288487065996041
0.1,0.5,0.3,0.9,0.29133648561180436
0.1,0.4,0.7,0.4,0.8924919150618311
0.1,0.2,0.9,0.0,0.6819797102294796
0.1,0.8,0.2,0.3,0.38684347443527034
0.0,0.1,0.6,0.3,0.908180204813226
0.1,0.2,0.7,0.3,0.451378246377677
0.1,0.6,1.0,0.3,0.2711912417696737
0.1,1.0,0.1,0.5,0.6296659853253732
0.1,0.2,0.2,0.4,0.19517077335103905
0.9,0.3,0.4,0.9,0.6645262690222404
0.1,1.0,0.6,0.3,0.35435438178081413
0.1,0.5,0.1,0.3,0.6198435802259882
0.2,1.0,0.5,0.5,0.678717364366723
0.3,0.3,0.0,0.7,0.5800860164027329
0.2,0.6,0.4,0.7,0.48310081169737623
1.0,0.5,0.4,0.1,0.8972586291343622
0.3,0.4,0.4,0.3,0.7138331347613072
0.4,0.7,0.7,0.3,0.8118269299178064
0.3,0.7,0.4,0.0,0.7621203350951443
0.1,0.3,0.5,0.5,0.6812937961693951
0.1,0.3,0.1,0.7,0.561887761434659
0.1,0.3,0.7,0.5,0.8540337657724081
0.1,0.4,0.2,0.9,0.3557301229689329
0.3,0.9,0.0,0.2,0.6540518708382558
0.1,0.4,0.0,0.7,0.11539320933525903
0.2,0.8,0.3,0.4,0.5084555724574079
0.1,0.2,1.0,0.9,0.7438539303997396
0.0,0.1,0.8,0.8,0.39124495312075747
0.1,0.4,0.9,0.9,0.3226222986238698
0.1,0.4,0.5,0.1,0.5233807588453356
0.1,0.6,0.4,0.1,0.4142151479643912
0.1,0.2,0.5,0.7,0.1687400070704893
0.0,0.1,0.7,0.0,0.4871743240190453
0.1,0.2,0.4,0.0,0.28166513397084014
0.9,0.3,0.5,0.2,0.9664052767096183
0.2,0.2,0.6,0.3,0.9145131969682626
0.1,0.3,0.9,0.6,0.5480139880916629
0.1,0.8,0.2,0.4,0.2729265535600092
0.4,0.2,0.3,0.2,0.8946622464379758
0.1,1.0,0.6,0.4,0.4350559875645337
0.1,0.6,0.7,0.2,0.5117367116225194
0.1,0.8,1.0,0.3,0.8733098096883128
0.1,0.5,0.3,1.0,0.1233737352322723
0.2,0.4,0.9,0.0,0.6819797102294798
0.7,0.6,0.8,0.0,0.6827504904791281
0.1,0.4,0.7,0.5,0.370028940166565
0.8,0.3,0.9,0.7,0.9119406017624959
0.9,0.3,0.5,0.4,0.8859289745057829
0.1,0.6,0.1,0.2,0.6546552977607558
0.3,0.7,0.4,0.2,0.41362382525513924
0.2,0.1,0.9,0.4,0.48395872541703366
0.3,0.4,0.4,0.5,0.6659892321677038
0.3,0.9,0.0,0.4,0.6413023211399121
0.2,1.0,0.5,0.7,0.3117857903474978
0.0,0.1,0.6,0.5,0.908180204813226
0.1,0.2,0.9,0.1,0.451378246377677
0.2,0.0,0.7,1.0,0.5474296386962684
0.1,0.2,0.7,0.4,0.6819797102294796
0.2,0.3,0.3,0.3,0.4159935651477446
0.2,0.0,0.1,0.0,1.0
0.6,0.5,0.2,0.3,0.6637175853131171
1.0,0.5,0.4,0.9,0.6680562488945073
0.2,0.6,0.5,0.0,0.5623992346371213
0.8,0.3,0.9,0.9,0.869385252188464
