position,frequency,named_entity,score
0.0,0.0,0.1,0.4380389410657441
0.0,0.1,0.0,0.493884251036021
0.0,0.3,0.5,0.47056734632127967
0.2,0.5,0.5,0.5492493387863854
0.1,0.7,0.7,0.4788073268322726
0.2,0.0,0.9,0.5202437302620984
0.1,0.8,0.5,0.4637556358493378
0.1,0.7,0.9,0.4788073268322726
0.1,0.1,0.7,0.46296270672233475
0.1,0.8,0.3,0.4759397451278808
0.1,0.8,0.1,0.5159586120744105
0.3,0.9,0.7,0.47543628411524935
0.3,0.8,0.7,0.47880732683227245
0.1,0.9,0.9,0.4910772681701603
0.2,0.9,0.8,0.47880732683227256
0.2,0.1,0.2,0.43596663802318103
0.3,0.2,0.5,0.4418324443874049
0.2,0.2,0.9,0.47377633502764577
0.5,0.0,0.1,0.4347190743906035
0.6,0.9,0.0,0.47645898859021724
0.3,0.4,0.2,0.4764589885902173
0.2,0.7,0.8,0.4940680043461102
0.0,0.3,0.1,0.48094766335331623
0.2,0.1,0.5,0.45445020502818617
0.1,0.7,0.2,0.6053805977520288
0.2,0.1,0.8,0.43596663802318103
0.2,0.8,0.7,0.4788073268322726
0.2,0.4,0.7,0.4788073268322729
0.3,0.0,0.7,0.4347190743906034
0.3,0.1,0.9,0.4210896939674765
0.2,0.0,0.5,0.5432485507045787
0.2,0.6,0.1,0.482191092472262
0.2,0.5,0.2,0.47880732683227273
0.1,0.9,0.7,0.47880732683227273
0.9,0.4,0.3,0.43171525344277634
0.0,0.2,0.7,0.4753796316755852
0.1,0.7,0.4,0.6053805977520288
0.5,0.3,0.8,0.46034156417207295
0.4,0.4,0.7,0.47377633502764543
0.5,0.6,0.0,0.47645898859021724
0.5,0.2,0.0,0.42412869291902666
0.2,0.7,0.4,0.4940680043461103
0.5,0.8,0.2,0.480148277885126
0.6,0.1,0.2,0.4259871149546935
0.2,0.9,0.9,0.5055790485754897
0.4,0.3,0.1,0.4455578720659077
0.1,0.7,0.6,0.5856886014424414
0.2,0.1,0.0,0.4616494987949885
0.8,0.7,0.6,0.4455578720659079
0.0,0.3,0.4,0.4878504731448196
0.2,0.4,0.1,0.46354003012355166
0.4,0.6,0.5,0.4764589885902171
0.1,0.7,0.8,0.6109820868172063
0.1,0.9,0.5,0.45061452563013377
0.2,0.9,0.4,0.4788073268322726
0.0,0.2,0.5,0.4782168023609608
0.1,0.8,0.0,0.6131926352824967
0.7,0.2,0.8,0.4210896939674767
0.1,0.8,0.2,0.6277880048608356
0.3,0.1,0.4,0.4694147319155854
0.2,0.4,0.9,0.4940680043461103
0.2,0.1,0.6,0.5477134551773803
0.2,0.1,0.9,0.47390314916015863
0.2,0.6,0.3,0.4940680043461102
0.8,0.1,0.5,0.4247582513451611
0.7,0.6,0.6,0.4455578720659077
0.5,0.4,0.0,0.4455578720659077
0.1,0.9,0.3,0.5320291770553768
0.1,0.4,0.1,0.47880732683227256
0.2,0.5,0.7,0.4940680043461102
0.3,0.2,0.7,0.48144923523586997
0.5,0.2,0.2,0.42412869291902666
0.2,0.7,0.5,0.4976532038675429
0.2,0.0,0.7,0.4347190743906033
0.1,0.7,0.3,0.45015872301487986
0.4,0.1,0.6,0.42741329536538414
0.1,0.9,0.8,0.4940680043461101
0.4,0.8,0.7,0.47880732683227245
0.3,0.6,0.1,0.4704936094336783
0.3,0.5,0.2,0.48014827788512615
0.1,0.9,0.1,0.47880732683227273
0.0,0.3,0.8,0.4567445704339565
0.2,0.3,0.4,0.5375704514478242
