where_position,where_frequency,score
0.1,0.8,8685.898347991719
0.1,0.9,8685.898347991719
0.1,1.0,8685.898347991719
0.2,0.1,8685.898347991719
0.2,0.3,8685.898347991719
0.2,0.5,8685.898347991719
0.2,0.7,8685.898347991719
0.2,0.9,8685.898347991719
0.3,0.1,8685.898347991719
0.3,0.2,8685.898347991719
0.0,0.1,8685.898347991719
0.3,0.4,8685.898347991719
0.3,0.5,8685.898347991719
0.3,0.7,8685.898347991719
0.3,0.8,8685.898347991719
0.3,0.9,8685.898347991719
0.3,1.0,8685.898347991719
0.4,0.1,8685.898347991719
0.4,0.3,8685.898347991719
0.4,0.5,8685.898347991719
0.4,0.7,8685.898347991719
0.1,0.0,8192.220744560014
0.4,0.9,8685.898347991719
0.5,0.1,8685.898347991719
0.5,0.2,8685.898347991719
0.5,0.3,8685.898347991719
0.5,0.4,8685.898347991719
0.5,0.6,8685.898347991719
0.5,0.7,8685.898347991719
0.5,0.8,8685.898347991719
0.5,0.9,8685.898347991719
0.6,0.1,8685.898347991719
0.1,0.1,8685.898347991719
0.6,0.5,8685.898347991719
0.6,0.7,8685.898347991719
0.6,0.9,8685.898347991719
0.7,0.1,8685.898347991719
0.7,0.2,8685.898347991719
0.7,0.3,8685.898347991719
0.7,0.4,8685.898347991719
0.7,0.5,8685.898347991719
0.7,0.6,8685.898347991719
0.7,0.8,8685.898347991719
0.1,0.2,8685.898347991719
0.7,0.9,8685.898347991719
0.7,1.0,8685.898347991719
0.8,0.1,8685.898347991719
0.8,0.3,8685.898347991719
0.8,0.5,8685.898347991719
0.8,0.7,8685.898347991719
0.8,0.9,8685.898347991719
0.9,0.1,8685.898347991719
0.9,0.2,8685.898347991719
0.9,0.4,8685.898347991719
0.1,0.3,8685.898347991719
0.9,0.5,8685.898347991719
0.9,0.7,8685.898347991719
0.9,0.8,8685.898347991719
0.9,1.0,8685.898347991719
1.0,0.1,8685.898347991719
1.0,0.3,8685.898347991719
1.0,0.7,8685.898347991719
1.0,0.9,8685.898347991719
0.1,0.4,8685.898347991719
0.1,0.5,8685.898347991719
0.1,0.6,8685.898347991719
0.1,0.7,8685.898347991719
