no_mapping,no_mapping,no_mapping,score
0.0,0.0,0.1,1.0
0.0,0.1,0.0,0.21618765636167725
0.0,0.3,0.4,0.1500100237716022
0.2,0.1,0.6,0.0779309427118779
0.1,0.6,0.3,0.3344590760017274
0.1,0.8,0.8,0.17267866717785227
0.1,0.7,0.0,0.1727488827985131
0.1,0.6,0.5,0.3344590760017274
0.1,0.0,0.9,0.19239589645465677
0.1,0.6,0.9,0.21420965090897875
0.1,0.6,0.7,0.15364624772869218
0.3,0.5,0.0,0.1795260248049373
0.3,0.4,0.1,0.28861006250842164
0.1,0.8,0.3,0.15580531508072348
0.2,0.5,0.7,0.3344590760017275
0.1,0.9,0.0,0.33445907600172736
0.9,0.5,0.0,0.262361311113928
0.2,0.8,0.9,0.33445907600172753
0.1,1.0,0.1,0.33445907600172736
0.4,0.2,0.1,0.25923964205083283
0.5,0.8,0.5,0.3245836121474149
0.2,1.0,0.5,0.33445907600172753
0.2,0.3,0.8,0.18418755281527047
0.0,0.2,0.9,0.2381952014518261
0.1,0.9,0.3,0.14065272966779033
0.1,0.5,0.9,0.06228188491080749
0.1,0.9,0.6,0.33445907600172736
0.2,0.4,0.5,0.3344590760017275
0.2,0.0,0.9,0.3095906026892121
0.2,0.6,0.5,0.3344590760017275
0.2,0.7,0.9,0.33445907600172753
0.9,0.5,0.2,0.17063033319375837
0.1,0.8,0.6,0.10122980649894488
0.2,0.2,0.1,0.1548981225829981
0.2,0.1,0.3,0.25923964205083266
0.1,0.8,0.1,0.33445907600172736
0.7,1.0,0.5,0.2886100625084217
0.0,0.2,0.5,0.16359119923279977
0.1,0.6,0.0,0.06228188491080749
0.4,0.6,0.9,0.13750048155588548
0.3,0.8,0.6,0.3344590760017275
0.4,0.9,0.3,0.3344590760017275
0.4,0.4,0.5,0.2727204612973374
0.2,0.3,0.4,0.18418755281527047
0.5,0.1,0.1,0.25174121254777254
0.5,0.3,0.3,0.26062555258647185
0.2,0.5,0.8,0.14574982616686694
0.3,0.7,0.5,0.3344590760017275
0.1,0.6,0.2,0.055304452444412254
0.1,0.8,0.9,0.08462066204139478
0.7,0.5,0.4,0.2559481141518537
0.8,0.7,0.7,0.2559481141518537
0.0,0.3,0.2,0.19084752870216043
0.2,0.0,0.3,0.1110157477095067
0.3,0.9,0.9,0.3344590760017275
0.1,0.6,0.4,0.04593857060785332
0.1,0.7,1.0,0.15676773675043124
0.2,0.5,0.3,0.3344590760017274
0.0,0.2,0.3,0.1526203819764901
0.1,0.6,0.6,0.03380130052853889
0.6,0.1,0.7,0.2493762015439654
0.1,0.6,0.8,0.026608349934111656
0.2,0.7,0.4,0.1620099859257984
0.9,0.5,0.6,0.17063033319375837
0.2,0.1,0.0,0.1740255247424819
0.1,0.9,0.4,0.0949115262830615
1.0,0.5,0.7,0.2592396420508328
0.1,0.9,0.7,0.0962702456322791
0.2,0.2,0.3,0.18341852777883175
0.7,0.1,0.2,0.29792823222916237
0.6,0.7,0.1,0.2728414314199351
0.4,0.7,0.1,0.3344590760017275
0.1,0.7,0.8,0.12780437466110603
0.1,0.3,0.0,0.3344590760017274
0.2,0.1,0.8,0.17402552474248192
0.2,0.9,0.1,0.07743243884018701
0.4,0.4,0.9,0.2727204612973374
0.2,0.3,0.5,0.134474868065245
0.1,0.8,0.7,0.33445907600172736
0.1,0.5,1.0,0.16188319818963814
0.9,0.5,0.8,0.262361311113928
0.3,0.6,0.5,0.3344590760017275
0.1,0.8,0.2,0.22016110245426368
0.4,0.0,0.9,0.3095906026892121
0.3,0.1,0.7,0.218660990276032
0.3,0.0,1.0,0.3095906026892121
0.1,0.7,0.6,0.33445907600172736
0.0,0.3,0.7,0.14793882191993943
0.1,1.0,0.6,0.12559402470572326
0.3,0.7,0.7,0.3344590760017275
0.2,0.6,0.9,0.3344590760017275
0.2,0.0,0.5,0.30959060268921207
0.1,0.6,0.1,0.12120909234141718
0.1,0.8,1.0,0.22016110245426374
0.2,0.7,0.5,0.1568759635659639
0.2,0.3,0.1,0.2886100625084216
1.0,0.6,0.3,0.26062555258647185
0.3,0.3,0.5,0.2727204612973374
0.1,0.7,0.4,0.3344590760017273
0.5,0.9,0.0,0.3344590760017275
0.1,1.0,0.3,0.33445907600172736
0.3,0.5,0.4,0.171212809493609
0.0,0.4,0.1,0.13064831170460797
0.1,0.8,0.0,0.11408991830236273
0.4,0.9,0.7,0.3344590760017275
0.1,0.7,0.2,0.09965756460401864
0.3,0.4,0.5,0.28861006250842164
0.1,1.0,0.0,0.22016110245426374
0.1,0.9,0.5,0.15148638762366037
0.2,0.1,0.5,0.25923964205083266
0.0,0.4,0.7,0.15779666349414664
0.7,0.1,0.6,0.29792823222916237
0.1,0.5,0.4,0.33445907600172736
0.2,0.8,0.3,0.22016110245426374
0.1,0.7,0.9,0.12754919686792576
0.5,0.6,0.5,0.23423794466837974
0.2,0.4,0.1,0.2042236363156295
0.1,0.4,0.1,0.3344590760017274
0.2,0.5,0.0,0.22016110245426376
0.1,1.0,0.7,0.10482066696879093
0.7,0.6,0.1,0.2559481141518537
0.2,0.9,0.3,0.15948418413556387
0.5,0.3,0.9,0.26062555258647185
0.6,0.2,0.5,0.25070352171827687
0.3,0.1,0.9,0.12921626710500722
0.4,0.9,0.9,0.3344590760017275
0.3,0.1,0.1,0.2548445836928098
0.4,0.7,0.5,0.3344590760017275
1.0,0.7,0.2,0.2559481141518537
0.2,0.6,0.1,0.171212809493609
0.1,1.0,0.4,0.14903415244616655
0.3,0.3,0.8,0.13447023481817702
0.2,0.3,0.7,0.09497632401703676
0.1,0.9,0.9,0.12055261486370322
0.2,0.7,0.7,0.171212809493609
1.0,0.7,0.4,0.2559481141518537
0.2,0.5,0.1,0.3344590760017275
0.6,0.2,0.9,0.25070352171827687
0.2,0.9,0.4,0.22016110245426374
0.9,0.7,0.0,0.2559481141518537
0.2,1.0,0.1,0.3344590760017275
0.4,0.3,0.3,0.2559481141518537
0.5,0.1,0.9,0.25174121254777254
0.0,0.5,0.1,0.12308844656938428
0.8,0.1,0.3,0.2979282322291623
0.3,1.0,0.5,0.3344590760017275
0.2,0.6,0.3,0.10767246344978379
0.4,0.7,0.7,0.23423794466837974
0.8,0.9,0.5,0.27284143141993517
0.3,0.8,0.0,0.3344590760017275
0.0,0.2,0.7,0.1500100237716022
0.1,0.8,0.4,0.12762750237262316
0.2,0.2,0.9,0.16188319818963812
0.5,0.9,0.6,0.3344590760017275
0.7,0.2,0.1,0.25484458369280977
0.1,0.9,0.1,0.07418649830940817
0.3,0.0,0.5,0.3095906026892121
0.0,0.3,1.0,0.13927671021461574
0.3,0.2,0.0,0.24967678017859904
0.6,0.8,0.1,0.28861006250842164
0.2,0.9,0.5,0.33445907600172753
0.0,0.3,0.1,0.14177638007428037
0.3,0.5,0.8,0.324583612147415
0.7,0.6,0.7,0.2559481141518537
0.3,0.3,1.0,0.2727204612973374
0.1,0.1,0.0,0.2727204612973374
0.4,1.0,0.5,0.3344590760017275
0.3,0.9,0.3,0.3344590760017275
0.5,0.9,0.8,0.3344590760017275
0.5,0.7,0.0,0.2886100625084217
0.8,0.1,0.7,0.16040053531709816
0.8,0.9,0.9,0.27284143141993517
0.1,1.0,0.9,0.20920359625660265
0.3,1.0,0.7,0.171212809493609
0.6,0.8,0.5,0.28861006250842164
0.0,0.3,0.5,0.16895987585999056
0.1,0.3,0.2,0.3344590760017274
0.1,0.8,0.5,0.16312134928007482
0.9,0.7,0.8,0.2559481141518537
0.8,1.0,0.1,0.2886100625084217
0.1,0.9,0.2,0.22579612585241066
1.0,0.8,0.7,0.2559481141518537
0.5,0.2,0.2,0.24542087645431257
0.6,0.3,0.8,0.2592396420508327
0.0,0.3,0.9,0.12768163068167446
0.4,0.1,0.7,0.24903293130190332
0.3,0.0,0.8,0.11483673947252601
0.1,0.9,0.8,0.07083171628275287
0.4,0.8,0.1,0.3344590760017275
1.0,0.9,0.0,0.26280531985943467
0.1,1.0,1.0,0.12661367013348593
0.3,1.0,0.9,0.3344590760017275
0.4,0.5,0.9,0.28861006250842164
0.7,0.7,0.3,0.2727204612973374
0.9,0.8,0.1,0.2628053198594347
0.6,0.9,0.1,0.28861006250842164
0.2,0.1,0.9,0.10079544199233008
0.5,0.7,0.4,0.23423794466837974
0.8,1.0,0.9,0.2886100625084217
0.8,0.2,0.5,0.24903293130190332
0.7,0.2,0.9,0.25484458369280977
0.1,0.6,1.0,0.02213573588995669
0.2,0.8,0.1,0.16312134928007482
0.4,0.3,0.9,0.23613271844576122
0.5,1.0,0.4,0.3344590760017275
0.2,0.1,0.2,0.03633521850807052
1.0,0.9,0.6,0.26280531985943467
0.4,0.6,0.1,0.28861006250842164
0.5,0.7,0.6,0.2886100625084217
0.7,0.7,0.8,0.2727204612973374
0.2,0.7,0.0,0.15191226801252602
0.2,0.9,0.9,0.171212809493609
0.9,0.8,0.7,0.2628053198594347
0.5,0.4,1.0,0.25594811415185365
0.6,0.4,0.7,0.24967678017859898
