position,adverbial indicator,NP-VP-NP,,score
0.0,0.0,0.0,0.1,0.6439607373100467
0.0,0.0,0.1,0.0,0.6248497578306278
0.0,0.0,0.3,0.5,0.6377542048855828
0.0,0.2,0.5,0.5,0.6124280008912623
0.2,0.2,0.0,0.7,0.6124280008912623
0.9,0.8,0.7,0.9,0.6439607373100467
0.2,0.6,0.4,0.9,0.6439607373100468
0.2,0.4,0.0,0.5,0.6248497578306279
0.1,0.8,0.7,0.3,0.560662336091934
0.1,0.7,0.9,0.1,0.6064733457571349
0.1,0.5,0.6,0.7,0.6451534573533259
0.2,0.2,0.5,0.9,0.6316820796784821
0.0,0.1,0.7,0.7,0.6439607373100469
0.1,0.5,0.4,0.8,0.654078177675808
0.2,0.0,0.9,0.0,0.7288317068881567
0.2,0.5,0.2,0.6,0.6439607373100468
0.1,0.4,0.9,0.4,0.5802368965278843
0.2,0.5,0.7,0.9,0.6248497578306279
0.1,0.8,0.4,0.5,0.6063626724340491
0.3,0.7,0.7,0.9,0.6439607373100469
0.4,0.2,0.0,0.5,0.6439607373100469
0.3,0.3,0.4,0.9,0.6453621298336301
0.4,0.3,0.8,0.1,0.6208831589921416
0.6,0.0,0.3,0.2,0.6439607373100469
0.4,0.7,0.7,0.9,0.6439607373100468
0.1,0.6,0.4,0.9,0.6439607373100469
0.1,0.6,0.0,0.7,0.6439607373100469
0.1,0.6,0.7,0.1,0.6064733457571347
0.1,0.7,0.4,0.1,0.6214304783731613
0.5,0.0,0.0,0.3,0.6439607373100468
0.1,0.7,0.1,0.7,0.6882961556949996
0.3,0.5,0.4,0.8,0.6453621298336301
0.1,0.5,0.8,0.7,0.6440714106331326
0.0,0.2,0.0,0.9,0.627770460972414
0.1,0.8,0.1,0.8,0.637754204885583
0.1,0.7,0.6,0.6,0.6036443620358404
0.1,0.9,0.9,0.7,0.588596253348448
0.1,0.5,0.3,0.0,0.6495206870324849
0.0,0.1,0.8,0.5,0.6442412597625001
0.1,0.5,0.1,0.2,0.6231763328956391
0.2,0.9,0.3,0.6,0.6063626724340491
0.1,0.6,0.9,0.4,0.6036443620358403
0.2,0.2,0.6,0.1,0.6008678631186667
0.5,0.4,0.6,0.2,0.6229435473174132
0.2,0.5,0.8,0.0,0.5940743268581664
0.2,0.0,0.4,0.3,0.6416654489720646
0.2,0.3,0.5,0.7,0.6439607373100469
0.1,0.8,0.7,0.4,0.6631510082348745
0.3,0.1,0.7,0.1,0.6451534573533259
0.9,0.8,0.8,0.5,0.6209947247215651
0.1,0.7,0.9,0.2,0.6182795533540283
0.1,0.9,0.6,0.5,0.6064733457571349
0.4,0.7,0.8,0.1,0.6688966679652313
0.2,0.8,0.5,0.9,0.6248497578306279
0.4,0.3,0.8,0.3,0.6440714106331326
0.5,0.0,0.0,0.6,0.6439607373100468
0.3,0.7,0.8,0.1,0.6081946265798345
0.0,0.1,0.7,0.9,0.6439607373100468
0.1,0.5,0.6,0.8,0.654078177675808
0.2,0.7,0.1,0.9,0.6439607373100468
0.1,0.5,0.4,0.9,0.6451534573533259
0.3,0.0,0.1,0.1,0.637764523319066
0.2,0.6,0.5,0.1,0.606473345757135
0.8,0.3,0.6,0.4,0.6439607373100467
0.3,0.3,0.5,0.1,0.6440841654203525
0.1,0.4,0.9,0.5,0.6451534573533259
0.7,0.2,0.8,0.4,0.6440714106331326
0.1,0.6,0.5,0.0,0.6991950266882646
0.1,0.6,0.7,0.2,0.6784037278486991
0.3,0.5,0.5,0.0,0.6064733457571349
0.0,0.1,0.1,0.7,0.6453621298336301
0.0,0.1,0.8,0.3,0.6527525301057392
0.1,0.6,0.0,0.8,0.7003054235237708
0.1,0.8,0.1,0.9,0.6451534573533257
0.2,0.5,0.8,0.1,0.636978936633143
0.1,0.7,0.6,0.7,0.6453621298336302
0.1,0.9,0.0,0.4,0.5874686424126448
0.0,0.1,0.8,0.1,0.6326846042078457
0.1,0.5,0.8,0.8,0.6228471622922888
0.5,0.7,0.3,0.2,0.609849711489819
0.6,0.8,0.5,0.4,0.6266755552271208
0.2,0.1,0.6,0.6,0.6316820796784821
0.7,0.7,0.6,0.4,0.6207724856690559
0.2,0.0,0.4,0.5,0.719089908659019
0.2,0.0,0.9,0.2,0.6440714106331328
0.1,0.6,0.2,0.9,0.6439607373100469
0.2,0.7,0.8,0.1,0.6064733457571351
0.1,0.5,0.3,0.1,0.6532870537901345
0.1,0.8,0.7,0.5,0.6064733457571347
0.1,0.5,0.1,0.3,0.5606623360919342
0.4,0.2,0.1,0.1,0.616743475029038
0.1,0.9,0.6,0.6,0.6182602381028763
0.0,0.3,0.9,0.7,0.7360422723432982
0.1,0.7,0.9,0.3,0.6688966679652311
0.9,0.8,0.9,0.1,0.623469547295688
0.6,0.0,0.4,0.1,0.6440714106331327
