position,frequency,conjunction,adjectives_adverbs,score
0.8,0.3,0.9,0.0,0.945241340795
0.8,0.3,0.9,0.1,0.945241340795
0.8,0.3,0.9,0.2,0.945241340795
0.8,0.3,0.9,0.3,0.945241340795
0.8,0.3,0.9,0.4,0.945241340795
0.8,0.3,0.9,0.5,0.945241340795
0.8,0.3,0.9,0.6,0.945241340795
0.8,0.3,0.9,0.7,0.911554841066
0.8,0.3,0.9,0.8,0.808461201631
0.8,0.3,0.9,0.9,0.714327870508
0.0,1.0,0.4,0.3,0.251065764914
0.8,0.3,0.9,1.0,0.446372998367
0.8,0.3,1.0,0.0,0.945241340795
0.8,0.3,1.0,0.1,0.945241340795
0.8,0.3,1.0,0.2,0.945241340795
0.8,0.3,1.0,0.3,0.945241340795
0.8,0.3,1.0,0.4,0.945241340795
0.8,0.3,1.0,0.5,0.945241340795
0.8,0.3,1.0,0.6,0.945241340795
0.8,0.3,1.0,0.7,0.945241340795
0.8,0.3,1.0,0.8,0.911554841066
0.0,1.0,0.4,0.5,0.106679594754
0.8,0.3,1.0,0.9,0.808461201631
0.8,0.3,1.0,1.0,0.714327870508
0.8,0.4,0.0,0.1,0.430469426992
0.8,0.4,0.0,0.3,0.243371915756
0.8,0.4,0.0,0.5,0.230515829878
0.8,0.4,0.0,0.7,0.198093543851
0.8,0.4,0.0,0.9,0.146016745722
0.8,0.4,0.1,0.0,0.790645094433
0.8,0.4,0.1,0.1,0.569892449928
0.8,0.4,0.1,0.2,0.430469426992
0.0,1.0,0.4,0.7,0.0372301830378
0.8,0.4,0.1,0.3,0.336986837858
0.8,0.4,0.1,0.4,0.243371915756
0.8,0.4,0.1,0.5,0.230515829878
0.8,0.4,0.1,0.6,0.230515829878
0.8,0.4,0.1,0.7,0.198093543851
0.8,0.4,0.1,0.8,0.198093543851
0.8,0.4,0.1,0.9,0.146016745722
0.8,0.4,0.1,1.0,0.146016745722
0.8,0.4,0.2,0.1,0.790645094433
0.8,0.4,0.2,0.3,0.430469426992
0.0,1.0,0.4,0.9,0.0372301830378
0.8,0.4,0.2,0.5,0.243371915756
0.8,0.4,0.2,0.7,0.230515829878
0.8,0.4,0.2,0.9,0.198093543851
0.8,0.4,0.3,0.0,0.938175076618
0.8,0.4,0.3,0.1,0.842650408584
0.8,0.4,0.3,0.2,0.790645094433
0.8,0.4,0.3,0.3,0.569892449928
0.8,0.4,0.3,0.4,0.430469426992
0.8,0.4,0.3,0.5,0.336986837858
0.8,0.4,0.3,0.6,0.243371915756
0.0,1.0,0.5,0.1,0.268288362345
0.8,0.4,0.3,0.7,0.230515829878
0.8,0.4,0.3,0.8,0.230515829878
0.8,0.4,0.3,0.9,0.198093543851
0.8,0.4,0.3,1.0,0.198093543851
0.8,0.4,0.4,0.1,0.938175076618
0.8,0.4,0.4,0.3,0.790645094433
0.8,0.4,0.4,0.5,0.430469426992
0.8,0.4,0.4,0.7,0.243371915756
0.8,0.4,0.4,0.9,0.230515829878
0.8,0.4,0.5,0.0,0.955541792789
0.0,1.0,0.5,0.2,0.268288362345
0.8,0.4,0.5,0.1,0.955541792789
0.8,0.4,0.5,0.2,0.938175076618
0.8,0.4,0.5,0.3,0.842650408584
0.8,0.4,0.5,0.4,0.790645094433
0.8,0.4,0.5,0.5,0.569892449928
0.8,0.4,0.5,0.6,0.430469426992
0.8,0.4,0.5,0.7,0.336986837858
0.8,0.4,0.5,0.8,0.243371915756
0.8,0.4,0.5,0.9,0.230515829878
0.8,0.4,0.5,1.0,0.230515829878
0.0,1.0,0.5,0.3,0.257466849278
0.8,0.4,0.6,0.1,0.955541792789
0.8,0.4,0.6,0.3,0.938175076618
0.8,0.4,0.6,0.5,0.790645094433
0.8,0.4,0.6,0.7,0.430469426992
0.8,0.4,0.6,0.9,0.243371915756
0.8,0.4,0.7,0.0,0.955541792789
0.8,0.4,0.7,0.1,0.955541792789
0.8,0.4,0.7,0.2,0.955541792789
