position,frequency,conjunction,adjectives_adverbs,score
0.8,0.3,0.9,0.0,0.682843514386
0.8,0.3,0.9,0.1,0.682843514386
0.8,0.3,0.9,0.2,0.682843514386
0.8,0.3,0.9,0.3,0.682843514386
0.8,0.3,0.9,0.4,0.682843514386
0.8,0.3,0.9,0.5,0.682843514386
0.8,0.3,0.9,0.6,0.682843514386
0.8,0.3,0.9,0.7,0.677868187021
0.8,0.3,0.9,0.8,0.662641772594
0.8,0.3,0.9,0.9,0.648738750846
0.0,1.0,0.4,0.3,0.580317257077
0.8,0.3,0.9,1.0,0.609163157692
0.8,0.3,1.0,0.0,0.682843514386
0.8,0.3,1.0,0.1,0.682843514386
0.8,0.3,1.0,0.2,0.682843514386
0.8,0.3,1.0,0.3,0.682843514386
0.8,0.3,1.0,0.4,0.682843514386
0.8,0.3,1.0,0.5,0.682843514386
0.8,0.3,1.0,0.6,0.682843514386
0.8,0.3,1.0,0.7,0.682843514386
0.8,0.3,1.0,0.8,0.677868187021
0.0,1.0,0.4,0.5,0.558992142585
0.8,0.3,1.0,0.9,0.662641772594
0.8,0.3,1.0,1.0,0.648738750846
0.8,0.4,0.0,0.1,0.606814279818
0.8,0.4,0.0,0.3,0.579180914074
0.8,0.4,0.0,0.5,0.577282134552
0.8,0.4,0.0,0.7,0.572493525221
0.8,0.4,0.0,0.9,0.564802042849
0.8,0.4,0.1,0.0,0.660010422753
0.8,0.4,0.1,0.1,0.627406362313
0.8,0.4,0.1,0.2,0.606814279818
0.0,1.0,0.4,0.7,0.548734812159
0.8,0.4,0.1,0.3,0.593007369405
0.8,0.4,0.1,0.4,0.579180914074
0.8,0.4,0.1,0.5,0.577282134552
0.8,0.4,0.1,0.6,0.577282134552
0.8,0.4,0.1,0.7,0.572493525221
0.8,0.4,0.1,0.8,0.572493525221
0.8,0.4,0.1,0.9,0.564802042849
0.8,0.4,0.1,1.0,0.564802042849
0.8,0.4,0.2,0.1,0.660010422753
0.8,0.4,0.2,0.3,0.606814279818
0.0,1.0,0.4,0.9,0.548734812159
0.8,0.4,0.2,0.5,0.579180914074
0.8,0.4,0.2,0.7,0.577282134552
0.8,0.4,0.2,0.9,0.572493525221
0.8,0.4,0.3,0.0,0.681799862543
0.8,0.4,0.3,0.1,0.667691347299
0.8,0.4,0.3,0.2,0.660010422753
0.8,0.4,0.3,0.3,0.627406362313
0.8,0.4,0.3,0.4,0.606814279818
0.8,0.4,0.3,0.5,0.593007369405
0.8,0.4,0.3,0.6,0.579180914074
0.0,1.0,0.5,0.1,0.582860948497
0.8,0.4,0.3,0.7,0.577282134552
0.8,0.4,0.3,0.8,0.577282134552
0.8,0.4,0.3,0.9,0.572493525221
0.8,0.4,0.3,1.0,0.572493525221
0.8,0.4,0.4,0.1,0.681799862543
0.8,0.4,0.4,0.3,0.660010422753
0.8,0.4,0.4,0.5,0.606814279818
0.8,0.4,0.4,0.7,0.579180914074
0.8,0.4,0.4,0.9,0.577282134552
0.8,0.4,0.5,0.0,0.684364839579
0.0,1.0,0.5,0.2,0.582860948497
0.8,0.4,0.5,0.1,0.684364839579
0.8,0.4,0.5,0.2,0.681799862543
0.8,0.4,0.5,0.3,0.667691347299
0.8,0.4,0.5,0.4,0.660010422753
0.8,0.4,0.5,0.5,0.627406362313
0.8,0.4,0.5,0.6,0.606814279818
0.8,0.4,0.5,0.7,0.593007369405
0.8,0.4,0.5,0.8,0.579180914074
0.8,0.4,0.5,0.9,0.577282134552
0.8,0.4,0.5,1.0,0.577282134552
0.0,1.0,0.5,0.3,0.581262665192
0.8,0.4,0.6,0.1,0.684364839579
0.8,0.4,0.6,0.3,0.681799862543
0.8,0.4,0.6,0.5,0.660010422753
0.8,0.4,0.6,0.7,0.606814279818
0.8,0.4,0.6,0.9,0.579180914074
0.8,0.4,0.7,0.0,0.684364839579
0.8,0.4,0.7,0.1,0.684364839579
0.8,0.4,0.7,0.2,0.684364839579
