position,frequency,named_entity,score
1.0,0.4,0.3,0.23544206129
1.0,0.4,0.5,0.23544206129
1.0,0.4,0.7,0.23544206129
1.0,0.4,0.9,0.23544206129
1.0,0.5,0.1,0.211338302545
1.0,0.5,0.2,0.211338302545
1.0,0.5,0.3,0.211338302545
1.0,0.5,0.4,0.211338302545
1.0,0.5,0.6,0.211338302545
1.0,0.5,0.7,0.211338302545
0.1,0.2,1.0,0.0
1.0,0.5,0.8,0.211338302545
1.0,0.5,0.9,0.211338302545
1.0,0.6,0.1,0.237546393671
1.0,0.6,0.3,0.237546393671
1.0,0.6,0.5,0.237546393671
1.0,0.6,0.7,0.237546393671
1.0,0.6,0.9,0.237546393671
1.0,0.7,0.0,0.277545170691
1.0,0.7,0.1,0.277545170691
1.0,0.7,0.2,0.277545170691
0.1,0.3,0.0,0.0
1.0,0.7,0.3,0.277545170691
1.0,0.7,0.4,0.277545170691
1.0,0.7,0.5,0.277545170691
1.0,0.7,0.6,0.277545170691
1.0,0.7,0.7,0.277545170691
1.0,0.7,0.8,0.277545170691
1.0,0.7,0.9,0.277545170691
1.0,0.7,1.0,0.277545170691
1.0,0.8,0.1,0.277545170691
1.0,0.8,0.3,0.277545170691
0.1,0.3,0.1,0.0
1.0,0.8,0.5,0.277545170691
1.0,0.8,0.7,0.277545170691
1.0,0.8,0.9,0.277545170691
1.0,0.9,0.0,0.222408978946
1.0,0.9,0.1,0.222408978946
1.0,0.9,0.2,0.222408978946
1.0,0.9,0.3,0.222408978946
1.0,0.9,0.4,0.222408978946
1.0,0.9,0.5,0.222408978946
1.0,0.9,0.6,0.222408978946
0.1,0.3,0.2,0.0
1.0,0.9,0.7,0.222408978946
1.0,0.9,0.8,0.222408978946
1.0,0.9,0.9,0.222408978946
1.0,0.9,1.0,0.222408978946
1.0,1.0,0.1,0.231621111857
1.0,1.0,0.3,0.231621111857
1.0,1.0,0.7,0.231621111857
1.0,1.0,0.9,0.231621111857
0.1,0.3,0.3,0.0
0.1,0.3,0.4,0.0
0.1,0.3,0.5,0.0
0.1,0.3,0.6,0.0
0.1,0.3,0.7,0.0
0.1,0.3,0.8,0.0
0.0,0.1,0.8,0.00769367758788
0.1,0.3,0.9,0.0
0.1,0.3,1.0,0.0
0.1,0.4,0.0,0.0
0.1,0.4,0.1,0.0
0.1,0.4,0.2,0.0
0.1,0.4,0.3,0.0
0.1,0.4,0.4,0.0
0.1,0.4,0.5,0.0
0.1,0.4,0.6,0.0
0.1,0.4,0.7,0.0
0.0,0.1,0.9,0.00769367758788
0.1,0.4,0.8,0.0
0.1,0.4,0.9,0.0
0.1,0.4,1.0,0.0
0.1,0.5,0.0,0.0
0.1,0.5,0.1,0.0
0.1,0.5,0.2,0.0
0.1,0.5,0.3,0.0
0.1,0.5,0.4,0.0
0.1,0.5,0.5,0.0
0.1,0.5,0.6,0.0
0.0,0.1,1.0,0.00769367758788
0.1,0.5,0.7,0.0
0.1,0.5,0.8,0.0
0.1,0.5,0.9,0.0
0.1,0.5,1.0,0.0
0.1,0.6,0.0,0.0
0.1,0.6,0.1,0.0
0.1,0.6,0.2,0.0
0.1,0.6,0.3,0.0
0.1,0.6,0.4,0.0
0.1,0.6,0.5,0.0
0.0,0.2,0.1,0.00769367758788
0.1,0.6,0.6,0.0
0.1,0.6,0.7,0.0
0.1,0.6,0.8,0.0
0.1,0.6,0.9,0.0
0.1,0.6,1.0,0.0
0.1,0.7,0.0,0.0
0.1,0.7,0.1,0.0
0.1,0.7,0.2,0.0
0.1,0.7,0.3,0.0
0.1,0.7,0.4,0.0
0.0,0.2,0.3,0.00769367758788
0.1,0.7,0.5,0.0
0.1,0.7,0.6,0.0
0.1,0.7,0.7,0.0
0.1,0.7,0.8,0.0
0.1,0.7,0.9,0.0
0.1,0.7,1.0,0.0
0.1,0.8,0.0,0.0
0.1,0.8,0.1,0.0
0.1,0.8,0.2,0.0
0.1,0.8,0.3,0.0
0.0,0.2,0.5,0.00769367758788
0.1,0.8,0.4,0.0
0.1,0.8,0.5,0.0
0.1,0.8,0.6,0.0
0.1,0.8,0.7,0.0
0.1,0.8,0.8,0.0
0.1,0.8,0.9,0.0
0.1,0.8,1.0,0.0
0.1,0.9,0.0,0.0
0.1,0.9,0.1,0.0
0.1,0.9,0.2,0.0
0.0,0.2,0.7,0.00769367758788
0.1,0.9,0.3,0.0
0.1,0.9,0.4,0.0
0.1,0.9,0.5,0.0
0.1,0.9,0.6,0.0
0.1,0.9,0.7,0.0
0.1,0.9,0.8,0.0
0.1,0.9,0.9,0.0
0.1,0.9,1.0,0.0
0.1,1.0,0.0,0.0
0.1,1.0,0.1,0.0
0.0,0.2,0.9,0.00769367758788
0.1,1.0,0.2,0.0
0.1,1.0,0.3,0.0
0.1,1.0,0.4,0.0
0.1,1.0,0.5,0.0
0.1,1.0,0.6,0.0
0.1,1.0,0.7,0.0
0.1,1.0,0.8,0.0
0.1,1.0,0.9,0.0
0.1,1.0,1.0,0.0
0.2,0.0,0.1,0.769177671951
0.0,0.3,0.1,0.00769367758788
0.2,0.0,0.3,0.769177671951
0.2,0.0,0.5,0.769177671951
0.2,0.0,0.7,0.769177671951
0.2,0.0,0.9,0.769177671951
0.2,0.1,0.0,0.211338302545
0.2,0.1,0.1,0.211338302545
0.2,0.1,0.2,0.211338302545
0.2,0.1,0.3,0.211338302545
0.2,0.1,0.4,0.211338302545
0.2,0.1,0.5,0.211338302545
0.0,0.3,0.2,0.00769367758788
0.0,0.0,0.1,1.0
0.2,0.1,0.6,0.211338302545
0.2,0.1,0.7,0.211338302545
0.2,0.1,0.8,0.211338302545
0.2,0.1,0.9,0.211338302545
0.2,0.1,1.0,0.211338302545
0.2,0.2,0.1,0.231621111857
0.2,0.2,0.3,0.231621111857
0.2,0.2,0.5,0.231621111857
0.2,0.2,0.7,0.231621111857
0.2,0.2,0.9,0.231621111857
0.0,0.3,0.4,0.00769367758788
0.2,0.3,0.0,0.281768327245
0.2,0.3,0.1,0.281768327245
0.2,0.3,0.2,0.281768327245
0.2,0.3,0.3,0.281768327245
0.2,0.3,0.4,0.281768327245
0.2,0.3,0.5,0.281768327245
0.2,0.3,0.6,0.281768327245
0.2,0.3,0.7,0.281768327245
0.2,0.3,0.8,0.281768327245
0.2,0.3,0.9,0.281768327245
0.0,0.3,0.5,0.00769367758788
0.2,0.3,1.0,0.281768327245
0.2,0.4,0.1,0.0
0.2,0.4,0.3,0.0
0.2,0.4,0.5,0.0
0.2,0.4,0.7,0.0
0.2,0.4,0.9,0.0
0.2,0.5,0.0,0.0
0.2,0.5,0.1,0.0
0.2,0.5,0.2,0.0
0.2,0.5,0.3,0.0
0.0,0.3,0.7,0.00769367758788
0.2,0.5,0.4,0.0
0.2,0.5,0.5,0.0
0.2,0.5,0.6,0.0
0.2,0.5,0.7,0.0
0.2,0.5,0.8,0.0
0.2,0.5,0.9,0.0
0.2,0.5,1.0,0.0
0.2,0.6,0.1,0.0
0.2,0.6,0.3,0.0
0.2,0.6,0.5,0.0
0.0,0.3,0.8,0.00769367758788
0.2,0.6,0.7,0.0
0.2,0.6,0.9,0.0
0.2,0.7,0.0,0.0
0.2,0.7,0.1,0.0
0.2,0.7,0.2,0.0
0.2,0.7,0.3,0.0
0.2,0.7,0.4,0.0
0.2,0.7,0.5,0.0
0.2,0.7,0.6,0.0
0.2,0.7,0.7,0.0
0.0,0.3,0.9,0.00769367758788
0.2,0.7,0.8,0.0
0.2,0.7,0.9,0.0
0.2,0.7,1.0,0.0
0.2,0.8,0.1,0.0
0.2,0.8,0.3,0.0
0.2,0.8,0.5,0.0
0.2,0.8,0.7,0.0
0.2,0.8,0.9,0.0
0.2,0.9,0.0,0.0
0.2,0.9,0.1,0.0
0.0,0.3,1.0,0.00769367758788
0.2,0.9,0.2,0.0
0.2,0.9,0.3,0.0
0.2,0.9,0.4,0.0
0.2,0.9,0.5,0.0
0.2,0.9,0.6,0.0
0.2,0.9,0.7,0.0
0.2,0.9,0.8,0.0
0.2,0.9,0.9,0.0
0.2,0.9,1.0,0.0
0.2,1.0,0.1,0.0
0.0,0.4,0.1,0.00769367758788
0.2,1.0,0.3,0.0
0.2,1.0,0.5,0.0
0.2,1.0,0.7,0.0
0.2,1.0,0.9,0.0
