position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.0,0.0,0.0,0.1,1.0
0.0,0.0,0.1,0.0,0.541390794801
0.0,0.0,0.3,0.4,0.357105769743
0.0,0.2,0.1,0.6,0.287076286771
0.1,0.7,0.9,0.6,0.259505945303
0.7,0.6,0.7,0.5,0.96450844879
0.2,0.0,0.0,0.7,1.0
0.1,0.9,0.3,0.4,0.439100781373
0.1,0.5,0.3,0.9,0.528879787529
0.1,0.4,0.7,0.4,0.939315263845
0.1,0.2,0.9,0.0,0.402904486673
0.1,0.8,0.2,0.3,0.515103029479
0.0,0.1,0.6,0.3,0.939315263845
0.1,0.2,0.7,0.3,0.327430559753
0.1,0.6,1.0,0.3,0.15287034096
0.1,1.0,0.1,0.5,0.751603906634
0.1,0.2,0.2,0.4,0.427454252246
0.9,0.3,0.4,0.9,1.0
0.1,1.0,0.6,0.3,0.439100781373
0.1,0.5,0.1,0.3,0.751603906634
0.2,1.0,0.5,0.5,0.751603906634
0.3,0.3,0.0,0.7,1.0
0.2,0.6,0.4,0.7,0.703289682531
1.0,0.5,0.4,0.1,0.837376592795
0.3,0.4,0.4,0.3,0.843389911304
0.4,0.7,0.7,0.3,0.690919170479
0.3,0.7,0.4,0.0,0.690919170479
0.1,0.3,0.5,0.5,1.0
0.1,0.3,0.1,0.7,1.0
0.1,0.3,0.7,0.5,0.939315263845
0.1,0.4,0.2,0.9,0.468278082099
0.3,0.9,0.0,0.2,0.751603906634
0.1,0.4,0.0,0.7,0.191899901397
0.2,0.8,0.3,0.4,0.552205976893
0.1,0.2,1.0,0.9,0.939315263845
0.0,0.1,0.8,0.8,0.393154495397
0.1,0.4,0.9,0.9,0.357105769743
0.1,0.4,0.5,0.1,0.330597179325
0.1,0.6,0.4,0.1,0.428613217068
0.1,0.2,0.5,0.7,0.244244699923
0.0,0.1,0.7,0.0,0.326005958643
0.1,0.2,0.4,0.0,0.218510326755
0.9,0.3,0.5,0.2,0.96450844879
0.2,0.2,0.6,0.3,0.939315263845
0.1,0.3,0.9,0.6,0.411954877933
0.1,0.8,0.2,0.4,0.439100781373
0.4,0.2,0.3,0.2,1.0
0.1,1.0,0.6,0.4,0.515103029479
0.1,0.6,0.7,0.2,0.428613217068
0.1,0.8,1.0,0.3,0.690919170479
0.1,0.5,0.3,1.0,0.252942425491
0.2,0.4,0.9,0.0,0.402904486673
0.7,0.6,0.8,0.0,0.551063757909
0.1,0.4,0.7,0.5,0.365635269233
0.8,0.3,0.9,0.7,1.0
0.9,0.3,0.5,0.4,1.0
0.1,0.6,0.1,0.2,0.751603906634
0.3,0.7,0.4,0.2,0.290396619274
0.2,0.1,0.9,0.4,0.541390794801
0.3,0.4,0.4,0.5,1.0
0.3,0.9,0.0,0.4,0.751603906634
0.2,1.0,0.5,0.7,0.336864932128
0.0,0.1,0.6,0.5,0.939315263845
0.1,0.2,0.9,0.1,0.29473312328
0.2,0.0,0.7,1.0,1.0
0.1,0.2,0.7,0.4,0.468278082099
0.2,0.3,0.3,0.3,0.569913156029
0.2,0.0,0.1,0.0,0.939315263845
0.6,0.5,0.2,0.3,0.843389911304
1.0,0.5,0.4,0.9,1.0
0.2,0.6,0.5,0.0,0.364455758571
0.8,0.3,0.9,0.9,1.0
0.1,0.2,0.2,0.5,0.468278082099
0.5,0.6,0.7,0.0,0.690919170479
0.1,0.3,0.5,0.6,0.142203283567
0.1,0.3,0.7,0.6,0.252009573049
0.2,0.8,0.3,0.6,0.751603906634
0.0,0.1,0.0,0.9,0.703289682531
0.0,0.1,0.6,0.9,0.569017074607
0.1,0.3,0.1,0.8,0.131841229987
0.1,0.4,0.9,1.0,0.468278082099
0.1,1.0,0.6,0.5,0.169552124512
0.1,0.4,0.5,0.2,0.552205976893
0.1,0.5,0.6,0.7,0.541390794801
0.0,0.1,0.6,0.7,0.323005162979
0.1,0.2,1.0,1.0,0.345166135648
0.4,0.4,1.0,0.7,0.703289682531
0.5,0.3,0.1,0.4,1.0
0.1,0.7,0.6,0.2,0.515103029479
0.5,1.0,0.7,0.1,0.690919170479
0.1,0.6,0.7,0.3,0.196034085449
0.1,0.6,1.0,0.5,0.690919170479
0.1,0.3,0.3,0.7,1.0
0.2,0.1,0.3,0.7,1.0
0.1,0.2,0.5,0.8,0.244821516963
0.1,0.5,0.4,0.0,0.690919170479
0.1,0.2,0.4,0.1,0.462363973119
0.3,0.3,0.1,0.0,0.751603906634
0.1,0.6,0.1,0.3,0.250605686401
0.0,0.3,0.5,0.0,0.290396619274
0.1,0.4,0.7,0.6,0.388871568389
0.7,0.6,0.8,0.6,1.0
0.4,0.7,0.7,0.9,1.0
0.2,0.4,0.9,0.2,0.690919170479
1.0,0.5,0.5,0.6,1.0
0.2,1.0,0.5,0.9,0.421020371003
0.6,0.5,0.2,0.7,1.0
0.1,0.5,0.1,0.5,1.0
0.1,0.9,0.3,0.7,0.552205976893
0.3,0.1,0.9,0.7,0.939315263845
0.1,1.0,0.1,0.8,0.330597179325
0.1,1.0,0.6,0.6,0.428613217068
0.1,0.5,0.9,0.5,0.703289682531
0.1,0.7,0.9,0.9,1.0
0.1,0.2,0.9,0.2,0.632799700276
0.1,0.6,0.4,0.3,0.402904486673
0.1,0.2,0.7,0.5,0.411121278975
0.1,0.8,1.0,0.5,0.690919170479
0.2,0.3,0.3,0.5,1.0
0.0,0.3,0.4,0.1,0.690919170479
0.1,0.4,0.3,0.0,0.461363528049
0.2,0.8,0.3,0.8,0.429829353997
0.1,0.4,1.0,0.0,0.439100781373
0.2,0.0,0.8,0.3,0.703289682531
0.1,0.3,0.5,0.7,0.468278082099
0.1,0.3,0.7,0.7,0.109452972586
0.1,0.5,0.6,0.8,0.703289682531
0.1,0.2,0.2,0.6,0.541390794801
0.0,0.1,0.8,0.3,0.317459817148
0.1,0.3,0.1,0.9,0.254289387131
0.3,0.4,0.4,0.9,1.0
0.1,0.8,0.6,0.5,0.690919170479
0.7,0.6,0.8,1.0,0.703289682531
0.3,0.3,0.1,0.2,0.843389911304
0.9,0.3,0.6,0.8,1.0
0.4,0.2,0.3,0.8,1.0
0.1,0.3,0.0,0.0,0.428613217068
0.1,0.5,0.4,0.1,0.309659781632
0.1,0.6,0.1,0.4,0.751603906634
0.5,0.6,0.7,0.6,1.0
0.4,0.5,0.0,0.2,0.768962016225
0.1,0.3,0.3,0.8,0.153062257052
0.0,0.2,0.5,0.7,1.0
0.1,1.0,0.6,0.7,0.29473312328
0.2,0.1,0.9,0.7,0.703289682531
0.1,0.4,0.7,0.7,0.357105769743
0.2,1.0,0.6,0.1,0.461363528049
0.1,0.2,0.5,0.9,0.541390794801
0.3,0.1,0.9,0.9,0.468278082099
0.2,0.5,0.6,0.6,0.703289682531
0.7,0.6,0.9,0.1,0.70827728007
