position,frequency,conjunction,adjectives_adverbs,score
0.0,0.0,0.0,0.1,0.314638880158
0.0,0.0,0.1,0.0,0.426781569992
0.0,0.0,0.3,0.4,0.419385115194
0.0,0.2,0.1,0.6,0.407737012951
0.1,0.7,0.9,0.6,0.494435550364
0.7,0.6,0.7,0.5,0.363353961974
0.2,0.0,0.0,0.7,0.310428569031
0.1,0.9,0.3,0.4,0.311776941414
0.1,0.5,0.3,0.9,0.389491417983
0.1,0.4,0.7,0.4,0.385397757889
0.1,0.2,0.9,0.0,0.569094329081
0.1,0.8,0.2,0.3,0.367801718564
0.0,0.1,0.6,0.3,0.42143482774
0.1,0.2,0.7,0.3,0.519730276538
0.1,0.6,1.0,0.3,0.557855709777
0.1,1.0,0.1,0.5,0.31816104192
0.1,0.2,0.2,0.4,0.417952469843
0.9,0.3,0.4,0.9,0.345536026576
0.1,1.0,0.6,0.3,0.344523361029
0.1,0.5,0.1,0.3,0.326869960882
0.2,1.0,0.5,0.5,0.346682290654
0.3,0.3,0.0,0.7,0.321011326577
0.2,0.6,0.4,0.7,0.39602603852
1.0,0.5,0.4,0.1,0.413148768389
0.3,0.4,0.4,0.3,0.350230294254
0.4,0.7,0.7,0.3,0.366370488606
0.3,0.7,0.4,0.0,0.36038602397
0.1,0.3,0.5,0.5,0.347671447665
0.1,0.3,0.1,0.7,0.315740703923
0.1,0.3,0.7,0.5,0.370894998063
0.1,0.4,0.2,0.9,0.411430737792
0.3,0.9,0.0,0.2,0.34124625227
0.1,0.4,0.0,0.7,0.420239333941
0.2,0.8,0.3,0.4,0.417031337601
0.1,0.2,1.0,0.9,0.358650104826
0.0,0.1,0.8,0.8,0.446657162616
0.1,0.4,0.9,0.9,0.470224022264
0.1,0.4,0.5,0.1,0.528449071436
0.1,0.6,0.4,0.1,0.377670307166
0.1,0.2,0.5,0.7,0.424969656216
0.0,0.1,0.7,0.0,0.529232176193
0.1,0.2,0.4,0.0,0.550599180174
0.9,0.3,0.5,0.2,0.42297593579
0.2,0.2,0.6,0.3,0.424692450237
0.1,0.3,0.9,0.6,0.534131227948
0.1,0.8,0.2,0.4,0.293946730915
0.4,0.2,0.3,0.2,0.407823768703
0.1,1.0,0.6,0.4,0.386153656425
0.1,0.6,0.7,0.2,0.446845557365
0.1,0.8,1.0,0.3,0.400403101965
0.1,0.5,0.3,1.0,0.402963758994
0.2,0.4,0.9,0.0,0.569094329081
0.7,0.6,0.8,0.0,0.526540556932
0.1,0.4,0.7,0.5,0.466799771942
0.8,0.3,0.9,0.7,0.418000608425
0.9,0.3,0.5,0.4,0.407342280316
0.1,0.6,0.1,0.2,0.342155874781
0.3,0.7,0.4,0.2,0.463611385851
0.2,0.1,0.9,0.4,0.437203460364
0.3,0.4,0.4,0.5,0.343370163166
0.3,0.9,0.0,0.4,0.335883946224
0.2,1.0,0.5,0.7,0.420122255943
0.0,0.1,0.6,0.5,0.42143482774
0.1,0.2,0.9,0.1,0.519730276538
0.2,0.0,0.7,1.0,0.318238485286
0.1,0.2,0.7,0.4,0.569094329081
0.2,0.3,0.3,0.3,0.365397531108
0.2,0.0,0.1,0.0,0.412988461364
0.6,0.5,0.2,0.3,0.329864742005
1.0,0.5,0.4,0.9,0.346708364313
0.2,0.6,0.5,0.0,0.525723010939
0.8,0.3,0.9,0.9,0.395313402687
0.1,0.2,0.2,0.5,0.41768064034
0.5,0.6,0.7,0.0,0.428702597902
0.1,0.3,0.5,0.6,0.369254203611
0.1,0.3,0.7,0.6,0.491657736299
0.2,0.8,0.3,0.6,0.336793568736
0.0,0.1,0.0,0.9,0.384040759316
0.0,0.1,0.6,0.9,0.377717810713
0.1,0.3,0.1,0.8,0.352995187745
0.1,0.4,0.9,1.0,0.434882850107
0.1,1.0,0.6,0.5,0.486915505758
0.1,0.4,0.5,0.2,0.488556563628
0.1,0.5,0.6,0.7,0.319846088985
0.0,0.1,0.6,0.7,0.368622263702
0.1,0.2,1.0,1.0,0.334975796695
0.4,0.4,1.0,0.7,0.512671854653
0.5,0.3,0.1,0.4,0.346708364313
0.1,0.7,0.6,0.2,0.396515094261
0.5,1.0,0.7,0.1,0.368630781168
0.1,0.6,0.7,0.3,0.511155944908
0.1,0.6,1.0,0.5,0.394319847359
0.1,0.3,0.3,0.7,0.319262865686
0.2,0.1,0.3,0.7,0.334003141237
0.1,0.2,0.5,0.8,0.386962515087
0.1,0.5,0.4,0.0,0.389906022665
0.1,0.2,0.4,0.1,0.543260664824
0.3,0.3,0.1,0.0,0.356636975835
0.1,0.6,0.1,0.3,0.465464696712
0.0,0.3,0.5,0.0,0.529669026764
0.1,0.4,0.7,0.6,0.452685041525
0.7,0.6,0.8,0.6,0.363353961974
0.4,0.7,0.7,0.9,0.341471383643
0.2,0.4,0.9,0.2,0.422533711719
1.0,0.5,0.5,0.6,0.356981293907
0.2,1.0,0.5,0.9,0.415035634399
0.6,0.5,0.2,0.7,0.338161380498
0.1,0.5,0.1,0.5,0.320172488198
0.1,0.9,0.3,0.7,0.384040759316
0.3,0.1,0.9,0.7,0.42297593579
0.1,1.0,0.1,0.8,0.386844503839
0.1,1.0,0.6,0.6,0.35475923359
0.1,0.5,0.9,0.5,0.494436865567
0.1,0.7,0.9,0.9,0.346682290654
0.1,0.2,0.9,0.2,0.490443022325
0.1,0.6,0.4,0.3,0.470284734243
0.1,0.2,0.7,0.5,0.565961360928
0.1,0.8,1.0,0.5,0.357088892161
0.2,0.3,0.3,0.5,0.335883946224
0.0,0.3,0.4,0.1,0.42143482774
0.1,0.4,0.3,0.0,0.453344341698
0.2,0.8,0.3,0.8,0.390627949291
0.1,0.4,1.0,0.0,0.423620853038
0.2,0.0,0.8,0.3,0.512106007218
0.1,0.3,0.5,0.7,0.421285536947
0.1,0.3,0.7,0.7,0.368239284159
0.1,0.5,0.6,0.8,0.390628395411
0.1,0.2,0.2,0.6,0.283850119556
0.0,0.1,0.8,0.3,0.493106196206
0.1,0.3,0.1,0.9,0.337902524621
0.3,0.4,0.4,0.9,0.323403854521
0.1,0.8,0.6,0.5,0.352548104399
0.7,0.6,0.8,1.0,0.426265415942
0.3,0.3,0.1,0.2,0.340977635222
0.9,0.3,0.6,0.8,0.341334878122
0.4,0.2,0.3,0.8,0.334228272611
0.1,0.3,0.0,0.0,0.356737547613
0.1,0.5,0.4,0.1,0.482369426906
0.1,0.6,0.1,0.4,0.324311171366
0.5,0.6,0.7,0.6,0.350230294254
0.4,0.5,0.0,0.2,0.333804492153
0.1,0.3,0.3,0.8,0.320680549016
0.0,0.2,0.5,0.7,0.314638880158
0.1,1.0,0.6,0.7,0.409001677057
0.2,0.1,0.9,0.7,0.526879481523
0.1,0.4,0.7,0.7,0.470224022264
0.2,1.0,0.6,0.1,0.388190391009
0.1,0.2,0.5,0.9,0.283850119556
0.3,0.1,0.9,0.9,0.54502559411
0.2,0.5,0.6,0.6,0.418268842455
0.7,0.6,0.9,0.1,0.424692450237
0.0,0.1,0.9,0.0,0.42143482774
0.1,0.2,0.4,0.2,0.571488542814
0.1,0.7,0.2,1.0,0.323776925638
0.1,0.8,0.2,0.7,0.336508887607
0.1,0.5,0.9,0.6,0.482369426906
0.5,0.3,0.1,1.0,0.334003141237
0.0,0.9,0.5,0.0,0.366948940611
0.1,0.6,0.4,0.4,0.328898920731
0.3,0.7,0.4,0.8,0.329994912155
