position,frequency,named_entity,score
0.0,0.0,0.1,0.61871817677
0.0,0.1,0.0,0.332921593933
0.0,0.3,0.4,0.401043835411
0.2,0.1,0.6,0.333796952469
0.1,0.6,0.3,0.287766120804
0.1,0.8,0.8,0.366595719271
0.1,0.7,0.0,0.39597035557
0.1,0.6,0.5,0.287766120804
0.1,0.0,0.9,0.350019245954
0.1,0.6,0.9,0.317837697515
0.1,0.6,0.7,0.358121385141
0.3,0.5,0.0,0.381196349405
0.3,0.4,0.1,0.271516225606
0.1,0.8,0.3,0.414670922018
0.2,0.5,0.7,0.287766120804
0.1,0.9,0.0,0.287766120804
0.9,0.5,0.0,0.271878169924
0.2,0.8,0.9,0.287766120804
0.1,1.0,0.1,0.287766120804
0.4,0.2,0.1,0.265132970176
0.5,0.8,0.5,0.287963351409
0.2,1.0,0.5,0.287766120804
0.2,0.3,0.8,0.300170417754
0.0,0.2,0.9,0.373879704499
0.1,0.9,0.3,0.399388202068
0.1,0.5,0.9,0.397650581637
0.1,0.9,0.6,0.287766120804
0.2,0.4,0.5,0.287766120804
0.2,0.0,0.9,0.320268109962
0.2,0.6,0.5,0.287766120804
0.2,0.7,0.9,0.287766120804
0.9,0.5,0.2,0.330043143182
0.1,0.8,0.6,0.35926795368
0.2,0.2,0.1,0.346009078466
0.2,0.1,0.3,0.265132970176
0.1,0.8,0.1,0.287766120804
0.7,1.0,0.5,0.271516225606
0.0,0.2,0.5,0.369115374654
0.1,0.6,0.0,0.397650581637
0.4,0.6,0.9,0.381441661351
0.3,0.8,0.6,0.287766120804
0.4,0.9,0.3,0.287766120804
0.4,0.4,0.5,0.268930800677
0.2,0.3,0.4,0.300170417754
0.5,0.1,0.1,0.254939583558
0.5,0.3,0.3,0.270408938387
0.2,0.5,0.8,0.395612683539
0.3,0.7,0.5,0.287766120804
0.1,0.6,0.2,0.347252305202
0.1,0.8,0.9,0.339763540072
0.7,0.5,0.4,0.270908418245
0.8,0.7,0.7,0.270908418245
0.0,0.3,0.2,0.372168148262
0.2,0.0,0.3,0.395215069313
0.3,0.9,0.9,0.287766120804
0.1,0.6,0.4,0.353721242446
0.1,0.7,1.0,0.391185798496
0.2,0.5,0.3,0.287766120804
0.0,0.2,0.3,0.340338884108
0.1,0.6,0.6,0.312535063096
0.6,0.1,0.7,0.254939583558
0.1,0.6,0.8,0.317414846219
0.2,0.7,0.4,0.33806338117
0.9,0.5,0.6,0.330043143182
0.2,0.1,0.0,0.277407134964
0.1,0.9,0.4,0.341219399015
1.0,0.5,0.7,0.265132970176
0.1,0.9,0.7,0.344697233141
0.2,0.2,0.3,0.293236791837
0.7,0.1,0.2,0.289467099048
0.6,0.7,0.1,0.273085786009
0.4,0.7,0.1,0.287766120804
0.1,0.7,0.8,0.412073875683
0.1,0.3,0.0,0.287766120804
0.2,0.1,0.8,0.277407134964
0.2,0.9,0.1,0.287952724633
0.4,0.4,0.9,0.268930800677
0.2,0.3,0.5,0.342707831568
0.1,0.8,0.7,0.287766120804
0.1,0.5,1.0,0.367667253179
0.9,0.5,0.8,0.271878169924
0.3,0.6,0.5,0.287766120804
0.1,0.8,0.2,0.33306466936
0.4,0.0,0.9,0.320268109962
0.3,0.1,0.7,0.359571728419
0.3,0.0,1.0,0.320268109962
0.1,0.7,0.6,0.287766120804
0.0,0.3,0.7,0.372116863374
0.1,1.0,0.6,0.377569595871
0.3,0.7,0.7,0.287766120804
0.2,0.6,0.9,0.287766120804
0.2,0.0,0.5,0.320268109962
0.1,0.6,0.1,0.400067698342
0.1,0.8,1.0,0.33306466936
0.2,0.7,0.5,0.345083940793
0.2,0.3,0.1,0.271516225606
1.0,0.6,0.3,0.270408938387
0.3,0.3,0.5,0.268930800677
0.1,0.7,0.4,0.287766120804
0.5,0.9,0.0,0.287766120804
0.1,1.0,0.3,0.287766120804
0.3,0.5,0.4,0.335660720078
0.0,0.4,0.1,0.291735786433
0.1,0.8,0.0,0.351764815819
0.4,0.9,0.7,0.287766120804
0.1,0.7,0.2,0.332657618698
0.3,0.4,0.5,0.271516225606
0.1,1.0,0.0,0.33306466936
0.1,0.9,0.5,0.355032751782
0.2,0.1,0.5,0.265132970176
0.0,0.4,0.7,0.336149691343
0.7,0.1,0.6,0.289467099048
0.1,0.5,0.4,0.287766120804
0.2,0.8,0.3,0.33306466936
0.1,0.7,0.9,0.331361568362
0.5,0.6,0.5,0.383840546782
0.2,0.4,0.1,0.351776422611
0.1,0.4,0.1,0.287766120804
0.2,0.5,0.0,0.33306466936
0.1,1.0,0.7,0.352350360865
0.7,0.6,0.1,0.270908418245
0.2,0.9,0.3,0.373623650028
0.5,0.3,0.9,0.270408938387
0.6,0.2,0.5,0.264530821212
0.3,0.1,0.9,0.274560174162
0.4,0.9,0.9,0.287766120804
0.3,0.1,0.1,0.267491631227
0.4,0.7,0.5,0.287766120804
1.0,0.7,0.2,0.270908418245
0.2,0.6,0.1,0.335660720078
0.1,1.0,0.4,0.344007128168
0.3,0.3,0.8,0.295832842555
0.2,0.3,0.7,0.324775156249
0.1,0.9,0.9,0.402753637735
0.2,0.7,0.7,0.335660720078
1.0,0.7,0.4,0.270908418245
0.2,0.5,0.1,0.287766120804
0.6,0.2,0.9,0.264530821212
0.2,0.9,0.4,0.33306466936
0.9,0.7,0.0,0.270908418245
0.2,1.0,0.1,0.287766120804
0.4,0.3,0.3,0.270908418245
0.5,0.1,0.9,0.254939583558
0.0,0.5,0.1,0.319841952475
0.8,0.1,0.3,0.289467099048
0.3,1.0,0.5,0.287766120804
0.2,0.6,0.3,0.304290418382
0.4,0.7,0.7,0.383840546782
0.8,0.9,0.5,0.273085786009
0.3,0.8,0.0,0.287766120804
0.0,0.2,0.7,0.401043835411
0.1,0.8,0.4,0.402755202866
0.2,0.2,0.9,0.367667253179
0.5,0.9,0.6,0.287766120804
0.7,0.2,0.1,0.267491631227
0.1,0.9,0.1,0.330196827091
0.3,0.0,0.5,0.320268109962
0.0,0.3,1.0,0.361544414776
0.3,0.2,0.0,0.269738789557
0.6,0.8,0.1,0.271516225606
0.2,0.9,0.5,0.287766120804
0.0,0.3,0.1,0.395365553256
0.3,0.5,0.8,0.287963351409
0.7,0.6,0.7,0.270908418245
0.3,0.3,1.0,0.268930800677
0.1,0.1,0.0,0.268930800677
0.4,1.0,0.5,0.287766120804
0.3,0.9,0.3,0.287766120804
